IdHiIdLo	  kij 	kTij	Tauij	Tauji	TauTij	TauTji	alpha
19211080	0	0	-132.8	456.8	0	0	0.3	VLE
15421102	0	0	  9.76	32.0	0	0	0.3	VLE
14211101	0	0	-78.98	167.9	0	0	0.3	VLE
13041251	0	0	-145.8	279.8	0	0	0.3	VLE
19211181	0	0	  10.4	200.6	0	0	0.3	VLE
19211791	0	0	-216.1	814.7	0	0	0.3	VLE
17740504	0	0	-136.3	206.0	0	0	0.3	VLE
18891102	0	0	59.5	-9.8	0	0	0.3	VLE
15231101	0	0	-21.4	50.2	0	0	0.3	VLE
15231106	0	0	-145.1	196.6	0	0	0.3	VLE
19211104	0	0	-155.6	419.8	0	0	0.3	VLE
11010137	0	0	-91.8	183.6	0	0	0.3	VLE
18641103	0	0	-69.5	95.3	0	0	0.3	VLE
13141051	0	0	5.2	5.2	0	0	0.3	VLE
11010027	0	0	-88.7	217.1	0	0	0.3	VLE
17101102	0	0	141.3	-142.1	0	0	0.3	VLE
14211104	0	0	-174.3	227.6	0	0	0.3	VLE
17061102	0	0	-178.8	252.1	0	0	0.3	VLE
11061101	0	0	40.3	36.0	0	0	0.3	VLE
16801151	0	0	-230.6	322.9	0	0	0.3	VLE
17121105	0	0	-86.0	86.1	0	0	0.3	VLE
19211710	0	0	-4.5	75.3	0	0	0.3	VLE
13151105	0	0	-175.1	241.2	0	0	0.3	VLE
18641101	0	0	144.9	-80.0	0	0	0.3	VLE
18860502	0	0	-61.2	73.5	0	0	0.3	VLE
18891501	0	0	-143.1	230.3	0	0	0.3	VLE
14021102	0	0	-89.4	120.8	0	0	0.3	VLE
15111402	0	0	-58.5	59.4	0	0	0.3	VLE
15711253	0	0	-67.7	79.1	0	0	0.3	VLE
17121103	0	0	-162.8	173.2	0	0	0.3	VLE
19211102	0	0	-63.2	196.7	0	0	0.3	VLE
10520017	0	0	-104.6	156.0	0	0	0.3	VLE
5020137	0	0	-51.0	64.0	0	0	0.3	VLE
13131104	0	0	-131.1	159.9	0	0	0.3	VLE
15211402	0	0	-80.8	83.0	0	0	0.3	VLE
