1974 Chem_Info_ChemID	Min_T	Min_Val	Max_T	Max_Val	Avg_Dev	Num_Coeffs	A	B	C	D	E	Max_Dev	Max_Dev_T	Value
1746	408.5499878	128.31	814	2860000	2.200000048	5	65.142	-11197	-5.469	4.5684E-19	6	9	490	BENZENAMINE, 4-NITRO-N-PHENYL-
1760	244.6000061	146.53	588.1500244	6309300	0.800000012	5	57.278	-6089	-4.9821	1.2154E-17	6	3.700000048	373	METHANE, NITRO-
1761	183.6300049	0.031771	593	5159200	1.299999952	5	75.632	-7202.3	-7.6464	1.825E-17	6	6.5	339	ETHANE, NITRO-
1762	169.1600037	0.00068898	605	4346900	1.100000024	5	68.21	-7106.2	-6.5256	1.2617E-17	6	4.400000095	332	PROPANE, 1-NITRO-
1763	181.8300018	0.021584	594	4449200	1.100000024	5	70.828	-6990.6	-6.961	1.6118E-17	6	3.400000095	353	PROPANE, 2-NITRO-
1764	227.1499939	0.006656	690	4896700	1	5	46.228	-7702.9	-3.3164	0.0029246	1	2.099999905	473	PROPANENITRILE, 3-HYDROXY-
1765	268.3500061	180.48	618	5339900	0.300000012	5	87.958	-7860.7	-9.6344	5.6756E-06	2	1.700000048	400	MORPHOLINE
1766	215.3099976	16.76	568.5499878	5610500	0.300000012	5	85.194	-6977.7	-9.3533	6.0256E-06	2	1.600000024	394	PYRROLIDINE
1767	183.1499939	1.5882	550	4203900	0.5	5	52.063	-5298	-4.3517	1.012E-17	6	1.899999976	298	PYRROLIDINE, 1-METHYL-
1768	287.0499878	752.51	540	2674100	1.200000048	5	165.75	-10674	-21.864	0.000021861	2	2.900000095	342	METHANE, TETRANITRO-
1769	191.8200073	0.003293	623	3760300	1.100000024	5	90.057	-8665.2	-9.6261	1.593E-17	6	6.5	343	BUTANE, 1-NITRO-
1771	259.8299866	18687	456.6499939	5352700	0.5	5	36.75	-3927.1	-2.1245	3.8948E-17	6	2	443	HYDROCYANIC ACID
1772	229.3200073	186.94	545.5	4851700	0.800000012	5	58.302	-5385.6	-5.4954	5.3634E-06	2	8.100000381	226	ACETONITRILE
1773	180.2599945	0.16936	564.4000244	4190600	1.100000024	5	82.699	-6703.5	-9.1506	7.5424E-06	2	3.299999952	213	PROPANENITRILE
1774	189.6300049	3.6829	535	4480000	1.799999952	5	87.604	-6392.7	-10.101	0.000010891	2	4.900000095	303	2-PROPENENITRILE
1775	237.3500061	268.87	554	3883300	0.800000012	5	72.258	-5910.5	-7.7127	7.5114E-06	2	1.700000048	298	2-PROPENENITRILE, 2-METHYL-
1776	331.1600037	12.091	770	3542300	1.700000048	5	86.561	-11290	-8.6132	2.0551E-18	6	10	397	BUTANEDINITRILE
1777	275.5499878	0.0336	781	2829500	3	5	60.642	-9907	-4.9979	8.2626E-19	6	11.39999962	448	HEXANEDINITRILE
1778	269.980011	1.7293	720	3798900	3.099999905	5	69.502	-8815.3	-6.4848	3.9968E-18	6	13	382	BENZENE, 1-METHYL-2-NITRO-
1779	324.75	40.483	743	3235400	1.799999952	5	333.66	-19749	-48.893	0.041893	1	5.400000095	359	BENZENE, 1-METHYL-4-NITRO-
1780	289.2000122	6.8427	734	3800900	2.299999952	5	99.051	-10031	-11.101	5.5981E-06	2	11.80000019	391	BENZENE, 1-METHYL-3-NITRO-
1886	278.8699951	6.6981	719	4409800	0.800000012	5	85.828	-9493.8	-8.8595	6.8912E-18	6	3.900000095	532	BENZENE, NITRO-
