37 ID	meff	vEff	CrhoDo	etag`	ε/kB(K)	
1	1.000	0.0259	-3.7670	0.5700	0.0	Methane
2	1.110	0.0411	-3.7427	0.6126	12.4	Ethane
3	1.220	0.0556	-3.7403	0.6475	31.5	Propane
5	1.330	0.0702	-3.7487	0.6767	55.2	Butane
11	1.550	0.0981	-3.7799	0.7226	108.8	n-hexane
17	1.660	0.1129	-3.7987	0.7410	136.7	n-heptane
27	1.770	0.1274	-3.8182	0.7571	164.5	n-octane
46	1.880	0.1420	-3.8379	0.7713	192.0	n-nonane
56	1.990	0.1562	-3.8576	0.7839	218.8	n-decane
64	2.210	0.1848	-3.8962	0.8054	270.2	n-dodecane
68	2.650	0.2428	-3.9678	0.8377	363.2	n-hexadecane
2081	4.190	0.4340	-4.1637	0.8974	609.4	C30(pred)
8657	7.490	0.8704	-4.4224	0.9426	903.9	C60(pred)
1938	1.361	0.0463	-3.6065	0.6531	0.0	CS2
909	1.072	0.0334	-3.5533	0.6440	0.0	CO2
137	1.387	0.0894	-3.7474	0.6900	116.6	cyclohexane
914	1.000	0.0206	-3.5486	0.5700	0.0	Argon
501	1.175	0.0764	-3.7038	0.6341	19.6	Benzene
502	1.240	0.0860	-3.7791	0.6534	328.8	Toluene
1616	1.157	0.0426	-3.5876	0.6283	66.5	CF4
201	1.200	0.0362	-3.7268	0.6416	14.2	ethylene
1502	1.143	0.0384	-3.6136	0.6237	12.7	chloromethane
1511	1.129	0.0506	-3.5885	0.6193	13.4	DichloroMethane
1521	1.336	0.0681	-3.6349	0.6465	0.0	Chloroform
1606	1.147	0.0493	-3.6202	0.6250	35.2	chlorotrifluoromethane
1501	1.000	0.0763	-3.6659	0.5644	87.0	CCl4
1615	1.155	0.0419	-3.5876	0.6138	0.0	trifluoromethane
8686	1.334	0.0555	-3.5457	0.5820	0.0	sulfurhexafluoride
2654	1.616	0.0965	-3.6783	0.5969	0.0	PerfluoroCycloButane
1051	1.217	0.0610	-3.7502	0.6465	33.6	Acetone
1791	1.000	0.0749	-3.7363	0.6288	23.5	pyridine
902	1.048	0.0408	-3.7224	0.5900	0.0	hydrogen
1571	1.138	0.0886	-3.6556	0.6221	21.8	monochlorobenzene
1701	1.000	0.0197	-3.6980	0.5700	1.9	Ammonia
1101	1.152	0.0312	-3.6474	0.6268	68.3	methanol
1102	1.219	0.0459	-3.6564	0.6474	173.0	ethanol
1921	1.000	0.0103	-3.4967	0.5700	1305.8	water
