1 264 T(K)	P(Mpa)	rho(g/cm3)	D(cm2/s)	0.577124869	2.381951731	0.167727541	48.12771503	0.00801	0.497302	190.6	4.604
303.3	30	0.20744	0.00062	Helbaek et al, J.Chem.Eng.Data, 1996							
303.3	40	0.24342	0.00049	Helbaek et al, J.Chem.Eng.Data, 1996							
303.3	50	0.26892	0.00043	Helbaek et al, J.Chem.Eng.Data, 1996							
333.1	30	0.18115	0.00075	Helbaek et al, J.Chem.Eng.Data, 1996							
333.1	40	0.21826	0.0006	Helbaek et al, J.Chem.Eng.Data, 1996							
333.1	50	0.24555	0.00051	Helbaek et al, J.Chem.Eng.Data, 1996							
295	11	0.086228	0.00158	Greiner, Schmid, JCP 94,1991							
295	21	0.16719	0.00077	Greiner, Schmid, JCP 94,1991							
295	27	0.20204	0.000634	Greiner, Schmid, JCP 94,1991							
295	31	0.22016	0.000574	Greiner, Schmid, JCP 94,1991							
295	57	0.28967	0.000376	Greiner, Schmid, JCP 94,1991							
295	107	0.35052	0.000261	Greiner, Schmid, JCP 94,1991							
295	157	0.38567	0.000221	Greiner, Schmid, JCP 94,1991							
295	207	0.41099	0.000177	Greiner, Schmid, JCP 94,1991							
327	27	0.17208	0.000887	Greiner, Schmid, JCP 94,1991							
327	57	0.26522	0.000486	Greiner, Schmid, JCP 94,1991							
327	107	0.33195	0.000322	Greiner, Schmid, JCP 94,1991							
327	157	0.36985	0.000251	Greiner, Schmid, JCP 94,1991							
327	207	0.39683	0.000217	Greiner, Schmid, JCP 94,1991							
333	11	0.07043	0.00205	Greiner, Schmid, JCP 94,1991							
333	21	0.13522	0.00108	Greiner, Schmid, JCP 94,1991							
333	31	0.18552	0.000777	Greiner, Schmid, JCP 94,1991							
364	11	0.061973	0.00252	Greiner, Schmid, JCP 94,1991							
364	21	0.11779	0.00131	Greiner, Schmid, JCP 94,1991							
364	27	0.14694	0.00114	Greiner, Schmid, JCP 94,1991							
364	31	0.16406	0.000923	Greiner, Schmid, JCP 94,1991							
364	57	0.24038	0.000588	Greiner, Schmid, JCP 94,1991							
364	107	0.31216	0.000392	Greiner, Schmid, JCP 94,1991							
364	157	0.35281	0.000316	Greiner, Schmid, JCP 94,1991							
364	207	0.38151	0.000262	Greiner, Schmid, JCP 94,1991							
394	27	0.13177	0.00146	Greiner, Schmid, JCP 94,1991							
394	57	0.22292	0.000687	Greiner, Schmid, JCP 94,1991							
394	107	0.29742	0.000453	Greiner, Schmid, JCP 94,1991							
394	157	0.33993	0.000343	Greiner, Schmid, JCP 94,1991							
394	207	0.36986	0.000297	Greiner, Schmid, JCP 94,1991							
