IdDippr	T(K)	P(Mpa)	rho(g/cm3)	D(cm2/s)
1921	298.2	0.024184	9.97E-01	2.51E-05	Dullien
1921	313.2	0.0074046	9.92E-01	3.50E-05	Dullien
1921	333.2	0.019993	9.83E-01	5.30E-05	Dullien
1921	353.2	0.63851	9.72E-01	7.50E-05	Dullien
1921	373.2	0.1016	9.58E-01	9.70E-05	Dullien
1921	473.2	2.0814	8.65E-01	2.30E-04	Dullien
1921	573.2	9.0209	7.13E-01	4.40E-04	Dullien
1921	623.2	16.804	5.77E-01	6.10E-04	Dullien
1921	648.2	22.356	3.15E-01	7.60E-04	Dullien
1921	293.2	0.0023466	0.996455	2.20E-05	Riazl &Daubert, 1980 AIChe Journal
1921	298.2	0.0031794	0.994676	2.51E-05	Riazl &Daubert, 1980 AIChe Journal
1921	313.2	0.0074046	0.988797	3.50E-05	Riazl &Daubert, 1980 AIChe Journal
1921	333.2	0.019993	9.80E-01	5.30E-05	Riazl &Daubert, 1980 AIChe Journal
1921	473.2	4.7313	8.67E-01	2.30E-04	Riazl &Daubert, 1980 AIChe Journal
1921	573.2	8.594	7.10E-01	4.40E-04	Riazl &Daubert, 1980 AIChe Journal
1921	623.2	16.591	5.75E-01	6.10E-04	Riazl &Daubert, 1980 AIChe Journal
1921	274.26	0.28523	1.00E+00	1.44E-05	Wang, J. H., Robinson, C. V. and Edelman, I. S. (1953) J. Amer. Chem. Soc. 20,466
1921	278.05	0.16605	1.00E+00	1.55E-05	Wang, J. H., Robinson, C. V. and Edelman, I. S. (1953) J. Amer. Chem. Soc. 20,466
1921	283.15	0.72427	1.00E+00	1.90E-05	Wang, J. H., Robinson, C. V. and Edelman, I. S. (1953) J. Amer. Chem. Soc. 20,466
1921	291.15	0.0020647	9.97E-01	2.36E-05	Wang, J. H., Robinson, C. V. and Edelman, I. S. (1953) J. Amer. Chem. Soc. 20,466
1921	298.15	0.0031699	9.95E-01	2.67E-05	Wang, J. H., Robinson, C. V. and Edelman, I. S. (1953) J. Amer. Chem. Soc. 20,466
1921	308.15	0.005629	9.91E-01	3.52E-05	Wang, J. H., Robinson, C. V. and Edelman, I. S. (1953) J. Amer. Chem. Soc. 20,466
1921	318.15	0.009595	9.87E-01	4.44E-05	Wang, J. H., Robinson, C. V. and Edelman, I. S. (1953) J. Amer. Chem. Soc. 20,466
1921	328.15	0.015762	9.82E-01	5.55E-05	Wang, J. H., Robinson, C. V. and Edelman, I. S. (1953) J. Amer. Chem. Soc. 20,466
1921	274.15	0.29573	1.00E+00	1.15E-05	Mills, R. (1973) Self-di¤usion in normal and heavy water in the range 1Ð45¡. J. Phys. Chem. 77, 685.
1921	277.15	0.15212	1.00E+00	1.27E-05	Mills, R. (1973) Self-di¤usion in normal and heavy water in the range 1Ð45¡. J. Phys. Chem. 77, 685.
1921	278.15	0.16919	1.00E+00	1.31E-05	Mills, R. (1973) Self-di¤usion in normal and heavy water in the range 1Ð45¡. J. Phys. Chem. 77, 685.
1921	288.15	0.0017058	9.98E-01	1.78E-05	Mills, R. (1973) Self-di¤usion in normal and heavy water in the range 1Ð45¡. J. Phys. Chem. 77, 685.
1921	298.15	0.0031699	9.95E-01	2.31E-05	Mills, R. (1973) Self-di¤usion in normal and heavy water in the range 1Ð45¡. J. Phys. Chem. 77, 685.
1921	308.15	0.005629	9.91E-01	2.95E-05	Mills, R. (1973) Self-di¤usion in normal and heavy water in the range 1Ð45¡. J. Phys. Chem. 77, 685.
1921	318.15	0.009595	9.87E-01	3.62E-05	Mills, R. (1973) Self-di¤usion in normal and heavy water in the range 1Ð45¡. J. Phys. Chem. 77, 685.
1	303.3	30	0.20744	0.00062	Helbaek et al, J.Chem.Eng.Data, 1996
