idTrc	idDippr	2025	2018	NAME	FORMULA
5609	1	nrmhc	gases	METHANE	CH4
5611	2	nrmhc	gases	ETHANE	C2H6
5624	3	nrmhc	norml	PROPANE	C3H8
5647	4	nrmhc	norml	ISOBUTANE	C4H10
477	5	nrmhc	norml	n-BUTANE	C4H10
2867	6	nrmhc	norml	1,1,3-TRIMETHYLCYCLOHEXANE	C9H18
643	7	nrmhc	norml	n-PENTANE	C5H12
5888	8	nrmhc	norml	ISOPENTANE	C5H12
3638	9	nrmhc	norml	NEOPENTANE	C5H12
4515	10	nrmhc	norml	METHYLCYCLOPROPANE	C4H8
696	11	nrmhc	norml	n-HEXANE	C6H14
546	12	nrmhc	norml	2-METHYLPENTANE	C6H14
6447	13	nrmhc	norml	3-METHYLPENTANE	C6H14
5688	14	nrmhc	norml	2,2-DIMETHYLBUTANE	C6H14
5920	15	nrmhc	norml	2,3-DIMETHYLBUTANE	C6H14
6549	16	nrmhc	norml	1-METHYL-4-ISOPROPYLCYCLOHEX	C10H20
1367	17	nrmhc	norml	n-HEPTANE	C7H16
4463	18	nrmhc	norml	2-METHYLHEXANE	C7H16
4408	19	nrmhc	norml	3-METHYLHEXANE	C7H16
4825	20	nrmhc	norml	3-ETHYLPENTANE	C7H16
4430	21	nrmhc	norml	2,2-DIMETHYLPENTANE	C7H16
4252	22	nrmhc	norml	2,3-DIMETHYLPENTANE	C7H16
564	23	nrmhc	norml	2,4-DIMETHYLPENTANE	C7H16
4229	24	nrmhc	norml	3,3-DIMETHYLPENTANE	C7H16
3639	25	nrmhc	norml	2,2,3-TRIMETHYLBUTANE	C7H16
3488	26	nrmhc	norml	n-HEXYLCYCLOHEXANE	C12H24
765	27	nrmhc	norml	n-OCTANE	C8H18
4474	28	nrmhc	norml	2-METHYLHEPTANE	C8H18
8075	29	nrmhc	norml	3-METHYLHEPTANE	C8H18
4413	30	nrmhc	norml	4-METHYLHEPTANE	C8H18
4861	31	nrmhc	norml	3-ETHYLHEXANE	C8H18
4436	32	nrmhc	norml	2,2-DIMETHYLHEXANE	C8H18
4366	33	nrmhc	norml	2,3-DIMETHYLHEXANE	C8H18
4412	34	nrmhc	norml	2,4-DIMETHYLHEXANE	C8H18
4471	35	nrmhc	norml	2,5-DIMETHYLHEXANE	C8H18
4232	36	nrmhc	norml	3,3-DIMETHYLHEXANE	C8H18
4350	37	nrmhc	norml	3,4-DIMETHYLHEXANE	C8H18
4684	38	nrmhc	norml	2-METHYL-3-ETHYLPENTANE	C8H18
463	39	nrmhc	norml	3-METHYL-3-ETHYLPENTANE	C8H18
4243	40	nrmhc	norml	2,2,3-TRIMETHYLPENTANE	C8H18
4049	41	nrmhc	norml	2,2,4-TRIMETHYLPENTANE	C8H18
4221	42	nrmhc	norml	2,3,3-TRIMETHYLPENTANE	C8H18
4258	43	nrmhc	norml	2,3,4-TRIMETHYLPENTANE	C8H18
4535	44	nrmhc	norml	2,2,3,3-TETRAMETHYLBUTANE	C8H18
786	46	nrmhc	norml	n-NONANE	C9H20
3108	47	nrmhc	norml	2,2,5-TRIMETHYLHEXANE	C9H20
5531	48	nrmhc	norml	3,3,5-TRIMETHYLHEPTANE	C10H22
1738	49	nrmhc	norml	2,4,4-TRIMETHYLHEXANE	C9H20
464	50	nrmhc	norml	3,3-DIETHYLPENTANE	C9H20
5530	51	nrmhc	norml	2,2,3,3-TETRAMETHYLPENTANE	C9H20
11253	52	nrmhc	norml	2,2,3,4-TETRAMETHYLPENTANE	C9H20
493	53	nrmhc	norml	2,2,4,4-TETRAMETHYLPENTANE	C9H20
1741	54	nrmhc	norml	2,3,3,4-TETRAMETHYLPENTANE	C9H20
728	55	heavy	heavy	SQUALANE	C30H62
1136	56	nrmhc	norml	n-DECANE	C10H22
1240	57	nrmhc	norml	2,2,3,3-TETRAMETHYLHEXANE	C10H22
502	58	nrmhc	norml	2,2,5,5-TETRAMETHYLHEXANE	C10H22
13045	59	nrmhc	norml	1-METHYL-DECALIN	C11H20
243	60	nrmhc	norml	1-ETHYL-DECALIN	C12H22
1754	61	nrmhc	norml	iso-BUTYLCYCLOHEXANE	C10H20
2926	62	nrmhc	norml	tert-BUTYLCYCLOHEXANE	C10H20
812	63	nrmhc	norml	n-UNDECANE	C11H24
874	64	nrmhc	norml	n-DODECANE	C12H26
5126	65	nrmhc	norml	n-TRIDECANE	C13H28
5130	66	nrmhc	norml	n-TETRADECANE	C14H30
5132	67	nrmhc	norml	n-PENTADECANE	C15H32
4112	68	heavy	heavy	n-HEXADECANE	C16H34
5142	69	heavy	heavy	n-HEPTADECANE	C17H36
4496	70	heavy	heavy	n-OCTADECANE	C18H38
5148	71	heavy	heavy	n-NONADECANE	C19H40
11351	72	nrmhc	norml	2,2-DIMETHYLOCTANE	C10H22
916	73	heavy	heavy	n-EICOSANE	C20H42
5150	74	heavy	heavy	n-HENEICOSANE	C21H44
5151	75	heavy	heavy	n-DOCOSANE	C22H46
5233	76	heavy	heavy	n-TRICOSANE	C23H48
5272	77	heavy	heavy	n-TETRACOSANE	C24H50
5153	78	heavy	heavy	n-PENTACOSANE	C25H52
5154	79	heavy	heavy	n-HEXACOSANE	C26H54
4497	80	heavy	heavy	n-HEPTACOSANE	C27H56
5155	81	heavy	heavy	n-OCTACOSANE	C28H58
5156	82	heavy	heavy	n-NONACOSANE	C29H60
123	85	nrmhc	norml	3-METHYLNONANE	C10H22
6087	86	nrmhc	norml	2-METHYLNONANE	C10H22
1814	87	nrmhc	norml	4-METHYLNONANE	C10H22
1604	88	nrmhc	norml	5-METHYLNONANE	C10H22
7746	90	nrmhc	heavy	2,2,4,4,6,8,8-HEPTAMETHYLNON	C16H34
2939	91	nrmhc	norml	2-METHYLOCTANE	C9H20
2311	92	nrmhc	norml	3-METHYLOCTANE	C9H20
2312	93	nrmhc	norml	4-METHYLOCTANE	C9H20
1603	94	nrmhc	norml	3-ETHYLHEPTANE	C9H20
497	96	nrmhc	norml	2,2-DIMETHYLHEPTANE	C9H20
9848	97	nrmhc	norml	3-METHYLDECANE	C11H24
1819	98	nrmhc	norml	3-METHYLDODECANE	C13H28
12955	99	nrmhc	norml	3-METHYLTRIDECANE	C14H30
179	100	nrmhc	norml	3-METHYLUNDECANE	C12H26
5641	101	nrmhc	norml	CYCLOPROPANE	C3H6
2733	102	nrmhc	norml	CYCLOBUTANE	C4H8
2737	104	nrmhc	norml	CYCLOPENTANE	C5H10
6460	105	nrmhc	norml	METHYLCYCLOPENTANE	C6H12
1690	107	nrmhc	norml	ETHYLCYCLOPENTANE	C7H14
11374	108	nrmhc	norml	1,1-DIMETHYLCYCLOPENTANE	C7H14
11257	109	nrmhc	norml	cis-1,2-DIMETHYLCYCLOPENTANE	C7H14
5984	110	nrmhc	norml	trans-1,2-DIMETHYLCYCLOPENTA	C7H14
2546	111	nrmhc	norml	cis-1,3-DIMETHYLCYCLOPENTANE	C7H14
24296	112	nrmhc	norml	trans-1,3-DIMETHYLCYCLOPENTA	C7H14
2133	114	nrmhc	norml	n-PROPYLCYCLOPENTANE	C8H16
11802	115	nrmhc	norml	ISOPROPYLCYCLOPENTANE	C8H16
11392	116	nrmhc	norml	1-METHYL-1-ETHYLCYCLOPENTANE	C8H16
26221	117	nrmhc	norml	1-cis-2-trans-3-TRIMETHYLCYC	C8H16
12822	118	nrmhc	norml	1,1,3-TRIMETHYLCYCLOPENTANE	C8H16
19871	119	nrmhc	norml	1-cis-2-trans-4-TRIMETHYLCYC	C8H16
3469	120	nrmhc	norml	1,1,2-TRIMETHYLCYCLOPENTANE	C8H16
2132	122	nrmhc	norml	n-BUTYLCYCLOPENTANE	C9H18
3489	127	nrmhc	norml	n-PENTYLCYCLOHEXANE	C11H22
5455	128	nrmhc	norml	2-METHYLDECANE	C11H24
5488	129	nrmhc	norml	2-METHYLUNDECANE	C12H26
1562	130	nrmhc	norml	2-METHYLDODECANE	C13H28
30644	131	nrmhc	norml	3-ETHYLDODECANE	C14H30
1561	132	nrmhc	norml	2-METHYLTRIDECANE	C14H30
30804	133	heavy	heavy	trans-2,n-HEXYL-DECAHYDRONAP	C16H30
1879	136	nrmhc	norml	n-OCTYLCYCLOHEXANE	C14H28
715	137	nrmhc	norml	CYCLOHEXANE	C6H12
7175	138	nrmhc	norml	METHYLCYCLOHEXANE	C7H14
1748	140	nrmhc	norml	ETHYLCYCLOHEXANE	C8H16
4434	141	nrmhc	norml	1,1-DIMETHYLCYCLOHEXANE	C8H16
16	142	nrmhc	norml	cis-1,2-DIMETHYLCYCLOHEXANE	C8H16
24289	143	nrmhc	norml	trans-1,2-DIMETHYLCYCLOHEXAN	C8H16
7382	144	nrmhc	norml	cis-1,3-DIMETHYLCYCLOHEXANE	C8H16
8653	145	nrmhc	norml	trans-1,3-DIMETHYLCYCLOHEXAN	C8H16
6917	146	nrmhc	norml	cis-1,4-DIMETHYLCYCLOHEXANE	C8H16
17	147	nrmhc	norml	trans-1,4-DIMETHYLCYCLOHEXAN	C8H16
24393	148	nrmhc	norml	1-trans-3,5-TRIMETHYLCYCLOHE	C9H18
1749	149	nrmhc	norml	n-PROPYLCYCLOHEXANE	C9H18
8137	150	nrmhc	norml	ISOPROPYLCYCLOHEXANE	C9H18
13397	151	nrmhc	norml	1,2,3,4-TETRAMETHYLCYCLOHEXA	C10H20
1750	152	nrmhc	norml	n-BUTYLCYCLOHEXANE	C10H20
3729	153	nrmhc	norml	cis-DECAHYDRONAPHTHALENE	C10H18
3730	154	nrmhc	norml	trans-DECAHYDRONAPHTHALENE	C10H18
6251	155	nrmhc	norml	BICYCLOHEXYL	C12H22
15457	156	nrmhc	norml	1,1-DIETHYLCYCLOHEXANE	C10H20
1880	158	heavy	heavy	n-DECYLCYCLOHEXANE	C16H32
2766	159	nrmhc	norml	CYCLOHEPTANE	C7H14
2770	160	nrmhc	norml	CYCLOOCTANE	C8H16
11302	161	nrmhc	norml	trans-1,4-DIETHYLCYCLOHEXANE	C10H20
2871	162	nrmhc	norml	2,3-DIMETHYLHEPTANE	C9H20
12583	163	nrmhc	norml	2,3-DIMETHYLNONANE	C11H24
12663	164	nrmhc	norml	2,3-DIMETHYLDECANE	C12H26
9978	165	nrmhc	norml	2,3-DIMETHYLUNDECANE	C13H28
12932	166	nrmhc	norml	2,3-DIMETHYLDODECANE	C14H30
3250	174	nrmhc	norml	n-PENTYLCYCLOPENTANE	C10H20
3549	175	nrmhc	norml	n-HEXYLCYCLOPENTANE	C11H22
506	176	nrmhc	norml	2,6-DIMETHYLHEPTANE	C9H20
1740	190	nrmhc	norml	2,2-DIMETHYL-3-ETHYLPENTANE	C9H20
469	192	nrmhc	norml	2,4-DIMETHYL-3-ETHYLPENTANE	C9H20
5612	201	nrmhc	gases	ETHYLENE	C2H4
932	202	nrmhc	norml	PROPYLENE	C3H6
1932	203	nrmhc	heavy	1-TRIACONTENE	C30H60
478	204	nrmhc	norml	1-BUTENE	C4H8
4428	205	nrmhc	norml	cis-2-BUTENE	C4H8
4954	206	nrmhc	norml	trans-2-BUTENE	C4H8
13156	207	nrmhc	norml	ISOBUTENE	C4H8
8571	208	nrmhc	norml	trans-2,2,4,6,6-PENTAMETHYL-	C12H24
644	209	nrmhc	norml	1-PENTENE	C5H10
5057	210	nrmhc	norml	cis-2-PENTENE	C5H10
5261	211	nrmhc	norml	trans-2-PENTENE	C5H10
4234	212	nrmhc	norml	2-METHYL-1-BUTENE	C5H10
4233	213	nrmhc	norml	3-METHYL-1-BUTENE	C5H10
