4347 Id2(solute)	Id1(solvent)	T (K)	γ2͚ Exp	Solute	Solvent
64175	56235	293.2	34.4	Ethanol	Carbon Tetrachloride
64175	56235	298.2	27.84	Ethanol	Carbon Tetrachloride
64175	56235	313.2	19.4	Ethanol	Carbon Tetrachloride
64175	56235	333.2	10.2	Ethanol	Carbon Tetrachloride
67561	56235	293.2	48.3	Methanol	Carbon Tetrachloride
67561	56235	313.2	26.4	Methanol	Carbon Tetrachloride
67561	56235	333.2	13.1	Methanol	Carbon Tetrachloride
67641	56235	293.2	3.19	Acetone	Carbon Tetrachloride
67641	56235	295.7	3.15	Acetone	Carbon Tetrachloride
67641	56235	316.5	2.88	Acetone	Carbon Tetrachloride
67641	56235	328.9	2.82	Acetone	Carbon Tetrachloride
67641	56235	333	2.76	Acetone	Carbon Tetrachloride
67641	56235	338.6	2.68	Acetone	Carbon Tetrachloride
67641	56235	344.4	2.58	Acetone	Carbon Tetrachloride
67641	56235	346.8	2.59	Acetone	Carbon Tetrachloride
67641	56235	349.8	2.32	Acetone	Carbon Tetrachloride
67641	56235	349.8	1.93	Acetone	Carbon Tetrachloride
67663	56235	293.2	1.19	Chloroform	Carbon Tetrachloride
67663	56235	293.2	1.16	Chloroform	Carbon Tetrachloride
67663	56235	303.2	1.17	Chloroform	Carbon Tetrachloride
67663	56235	328.2	1.13	Chloroform	Carbon Tetrachloride
71238	56235	314.9	15.93	n-propanol	Carbon Tetrachloride
71238	56235	327	11.9	n-propanol	Carbon Tetrachloride
71238	56235	338.9	8.82	n-propanol	Carbon Tetrachloride
71238	56235	344.4	8.78	n-propanol	Carbon Tetrachloride
71432	56235	293.2	1.1	Benzene	Carbon Tetrachloride
71432	56235	313.2	1.13	Benzene	Carbon Tetrachloride
71432	56235	328.3	1.1	Benzene	Carbon Tetrachloride
71432	56235	349.1	1.1	Benzene	Carbon Tetrachloride
71432	56235	349.8	1.1	Benzene	Carbon Tetrachloride
71556	56235	328.2	1.09	1,1,1-Trichloroethane	Carbon Tetrachloride
74964	56235	293.2	1.25	Bromoethane	Carbon Tetrachloride
75036	56235	293.2	1.35	iodoethane	Carbon Tetrachloride
75058	56235	293.2	13.4	Acetonitrile	Carbon Tetrachloride
75058	56235	314.9	10.7	Acetonitrile	Carbon Tetrachloride
75058	56235	316.5	10.1	Acetonitrile	Carbon Tetrachloride
75058	56235	330	9.1	Acetonitrile	Carbon Tetrachloride
75058	56235	340.2	8.7	Acetonitrile	Carbon Tetrachloride
75058	56235	346	8.1	Acetonitrile	Carbon Tetrachloride
75092	56235	293.2	1.58	Dichloromethane	Carbon Tetrachloride
75092	56235	328.2	1.49	Dichloromethane	Carbon Tetrachloride
75150	56235	293.2	1.21	Carbon Disulfide	Carbon Tetrachloride
75343	56235	328.2	1.4	1,1-Dichloroethane	Carbon Tetrachloride
75525	56235	293.2	15.2	Nitromethane	Carbon Tetrachloride
75525	56235	298.2	15.05	Nitromethane	Carbon Tetrachloride
75525	56235	314.9	11.7	Nitromethane	Carbon Tetrachloride
75525	56235	328.3	10.7	Nitromethane	Carbon Tetrachloride
75525	56235	340.2	9.1	Nitromethane	Carbon Tetrachloride
75525	56235	349.1	8.4	Nitromethane	Carbon Tetrachloride
78831	56235	293.2	18.5	i-butanol	Carbon Tetrachloride
79016	56235	328.2	0.99	Trichloroethylene	Carbon Tetrachloride
79469	56235	314.9	4.58	2-Nitropropane	Carbon Tetrachloride
79469	56235	333	4.24	2-Nitropropane	Carbon Tetrachloride
79469	56235	340.2	4.1	2-Nitropropane	Carbon Tetrachloride
79469	56235	346.3	3.96	2-Nitropropane	Carbon Tetrachloride
107062	56235	313.2	1.73	1,2-Dichloroethane	Carbon Tetrachloride
107062	56235	328.2	1.65	1,2-Dichloroethane	Carbon Tetrachloride
107120	56235	293.2	7.2	propanenitrile	Carbon Tetrachloride
107835	56235	298.2	1.41	2-Methylpentane	Carbon Tetrachloride
108087	56235	298.2	1.45	2,4-Dimethylpentane	Carbon Tetrachloride
108203	56235	293.2	1.04	Diisopropyl Ether	Carbon Tetrachloride
108883	56235	298.2	1.02	Toluene	Carbon Tetrachloride
108883	56235	313.2	1.05	Toluene	Carbon Tetrachloride
109660	56235	298.2	1.33	pentane	Carbon Tetrachloride
109999	56235	303.2	0.82	Tetrahydrofuran	Carbon Tetrachloride
110543	56235	293.2	1.33	hexane	Carbon Tetrachloride
110543	56235	298.2	1.35	hexane	Carbon Tetrachloride
110543	56235	313.2	1.28	hexane	Carbon Tetrachloride
111659	56235	298.2	1.23	octane	Carbon Tetrachloride
111659	56235	298.2	1.33	octane	Carbon Tetrachloride
111659	56235	313.2	1.19	octane	Carbon Tetrachloride
111842	56235	298.2	1.28	nonane	Carbon Tetrachloride
123911	56235	298.2	1.25	dioxane	Carbon Tetrachloride
123911	56235	298.2	1.29	dioxane	Carbon Tetrachloride
123911	56235	303.2	1.32	dioxane	Carbon Tetrachloride
123911	56235	308.2	1.33	dioxane	Carbon Tetrachloride
123911	56235	313.2	1.32	dioxane	Carbon Tetrachloride
123911	56235	313.2	1.34	dioxane	Carbon Tetrachloride
123911	56235	337.7	1.34	dioxane	Carbon Tetrachloride
124185	56235	313.2	1.1	decane	Carbon Tetrachloride
142825	56235	298.2	1.34	heptane	Carbon Tetrachloride
142825	56235	313.2	1.24	heptane	Carbon Tetrachloride
142825	56235	328.3	1.27	heptane	Carbon Tetrachloride
142825	56235	349.1	1.15	heptane	Carbon Tetrachloride
565753	56235	298.2	1.36	2,3,4-Trimethylpentane	Carbon Tetrachloride
592132	56235	298.2	1.38	2,5-Dimethylhexane	Carbon Tetrachloride
1634044	56235	308.2	0.79	methyl t-butyl ether	Carbon Tetrachloride
