765 ID	TcEos 	PcEos	ZcEos 	AcenEos
1	191.41	4.675	0.3183	0.0051
2	308.96	5.163	0.3145	0.0807
3	375.13	4.608	0.3122	0.1328
4	414.14	4.009	0.3112	0.1669
5	432.50	4.219	0.3109	0.1761
7	479.29	3.825	0.3100	0.2227
8	467.90	3.758	0.3103	0.2061
9	439.97	3.503	0.3109	0.1790
11	519.35	3.543	0.3092	0.2701
12	507.40	3.469	0.3095	0.2539
13	514.36	3.557	0.3096	0.2479
14	497.19	3.439	0.3102	0.2111
15	509.75	3.540	0.3100	0.2221
17	552.13	3.250	0.3082	0.3246
18	541.02	3.183	0.3085	0.3073
19	547.79	3.332	0.3088	0.2930
20	551.81	3.357	0.3089	0.2860
21	531.10	3.191	0.3093	0.2622
22	549.30	3.384	0.3092	0.2667
23	530.73	3.184	0.3091	0.2774
24	545.51	3.297	0.3096	0.2444
25	540.57	3.323	0.3099	0.2283
27	583.09	3.019	0.3074	0.3670
28	573.55	3.000	0.3078	0.3468
29	577.56	3.066	0.3079	0.3401
30	575.20	3.046	0.3079	0.3408
31	579.09	3.123	0.3081	0.3313
32	561.58	2.965	0.3084	0.3134
33	575.92	3.096	0.3083	0.3192
34	564.56	2.971	0.3083	0.3200
35	562.63	2.951	0.3082	0.3282
36	575.39	3.142	0.3088	0.2905
37	581.08	3.151	0.3085	0.3119
38	579.76	3.175	0.3086	0.3023
39	588.11	3.218	0.3091	0.2760
40	575.09	3.156	0.3091	0.2725
41	554.37	2.945	0.3090	0.2795
42	584.36	3.214	0.3093	0.2658
43	578.06	3.157	0.3089	0.2885
46	609.27	2.807	0.3063	0.4160
47	576.74	2.718	0.3077	0.3528
48	620.89	2.697	0.3075	0.3626
49	593.80	2.854	0.3083	0.3180
50	624.49	3.086	0.3087	0.2959
51	617.24	3.080	0.3089	0.2854
52	602.37	2.952	0.3088	0.2960
53	584.39	2.817	0.3088	0.2925
54	618.02	3.071	0.3088	0.2917
56	630.62	2.590	0.3049	0.4727
57	637.55	2.853	0.3084	0.3169
58	584.79	2.488	0.3067	0.4043
