73	Zi	a1	a2	a3	cXs	dXs	bXs
1	-0.79116	0.27485	0.01065	0.01156	0.27171	-0.54522	0.66667
2	-0.90099	0.43762	0.03908	0.00558	0.73951	-0.56060	0.66667
3	-0.97375	0.34653	0.00078	0.00125	0.28612	-0.54506	0.66667
5	-1.03950	0.41684	0.02254	0.00238	0.28612	-0.54506	0.66667
7	-1.10687	0.34388	0.00176	0.00078	0.28612	-0.54506	0.66667
11	-1.17226	0.33237	0.00000	0.00077	0.28612	-0.54506	0.66667
17	-1.23694	0.33560	0.00254	0.00116	0.28612	-0.54506	0.66667
27	-1.30272	0.34428	0.00054	0.00075	0.28612	-0.54506	0.66667
46	-1.36117	0.39239	0.00870	0.00104	0.28612	-0.54506	0.66667
56	-1.42560	0.33331	0.00008	0.00084	0.28612	-0.54506	0.66667
63	-1.47294	0.34506	0.00001	0.00064	0.28612	-0.54506	0.66667
64	-1.53334	0.36462	0.00247	0.00072	0.28612	-0.54506	0.66667
65	-1.58301	0.67365	0.04785	0.00227	0.28612	-0.54506	0.66667
66	-1.61109	0.35943	0.00001	0.00055	0.28612	-0.54506	0.66667
67	-1.66736	0.43238	0.00247	0.00023	0.28612	-0.54506	0.66667
68	-1.70735	0.35421	0.00004	0.00050	0.28612	-0.54506	0.66667
69	-1.77616	0.43684	0.00198	0.00018	0.28612	-0.54506	0.66667
70	-1.82827	0.36018	0.00000	0.00046	0.28612	-0.54506	0.66667
73	-1.95220	0.34656	0.00093	0.00049	0.28612	-0.54506	0.66667
77	-2.15194	0.36648	0.00000	0.00027	0.28612	-0.54506	0.66667
2081	-9.02930	0.8083	-0.0124	0.0010	0.1122	-1.87820	0.66667
8657	-12.8196	13.2289	0.8454	0.0196	0.2861	-0.54500	0.66667
12	-1.15036	0.31106	0.00008	0.00141	0.28612	-0.54506	0.66667
13	-1.13379	0.32972	0.00347	0.00167	0.28612	-0.54506	0.66667
15	-1.10979	0.39614	0.01379	0.00258	0.28612	-0.54506	0.66667
14	-1.09320	0.36089	0.00279	0.00290	0.28612	-0.54506	0.66667
25	-1.11216	0.79122	0.12244	0.01156	0.28612	-0.54506	0.66667
104	-1.02660	0.35606	0.00675	0.00355	0.28612	-0.54506	0.66667
137	-1.05158	0.38385	0.00445	0.00416	0.28612	-0.54506	0.66667
138	-1.09051	0.61625	0.06949	0.00644	0.28612	-0.54506	0.66667
159	-1.10006	0.41640	0.00536	0.00301	0.28612	-0.54506	0.66667
160	-1.11303	0.69361	0.09208	0.00967	0.28612	-0.54506	0.66667
201	-0.88168	0.53700	0.07104	0.00913	0.98839	-0.41843	0.66667
501	-1.04700	0.30329	0.00185	0.00367	0.28612	-0.54506	0.66667
502	-1.11688	0.98879	0.18136	0.01345	0.28612	-0.54506	0.66667
561	-1.59083	1.10927	0.19230	0.01281	0.28612	-0.54506	0.66667
1401	-1.03964	0.26393	0.00005	0.00230	0.28612	-0.54506	0.66667
1051	-1.14505	0.62863	0.09188	0.00736	0.28612	-0.54506	0.66667
919	-0.78178	0.15597	0.00000	0.02000	0.11521	-0.70328	0.66667
914	-0.78886	0.80652	0.17439	0.01965	0.46784	-0.66323	0.66667
920	-0.78142	0.23010	0.00004	0.01882	0.23166	-0.56972	0.66667
959	-0.77531	0.60217	0.19412	0.04146	0.97267	-0.85249	0.66667
909	-1.07313	0.00178	0.00008	0.01709	0.10039	-0.51480	0.66667
902	-0.67278	0.37928	0.00003	0.01997	0.33630	-0.34799	0.66667
1101	-1.50903	0.40493	0.00000	0.00062	0.28612	-0.54506	0.66667
1102	-1.61885	0.49861	0.00001	0.00063	0.28612	-0.54506	0.66667
1103	-1.60674	0.49608	0.00010	0.00129	0.28612	-0.54506	0.66667
1104	-1.65961	0.43896	0.00003	0.00242	0.28612	-0.54506	0.66667
1105	-1.57013	0.59902	0.04872	0.00541	0.28612	-0.54506	0.66667
1110	-1.52285	0.55466	0.06516	0.00798	0.28612	-0.54506	0.66667
1120	-1.46396	0.15656	0.00038	0.00715	0.28612	-0.54506	0.66667
