72 	a1 	a2 	a3 	b 	c 	d 	       NPTS 	MAPE	Name 
1	0.31806	0.00010	0.00192	0.71232	0.20000	-0.49517	156	5.23	METHANE
2	0.36119	0.02398	0.00433	0.67663	0.22958	-0.54808	56	7.38	ETHANE
3	0.47288	0.03225	0.00477	0.61897	0.49933	-0.51511	21	7.54	PROPANE
5	0.74491	0.14981	0.01710	0.61897	0.49933	-0.51511	9	10.53	n-BUTANE
7	0.42986	0.02613	0.00577	0.61897	0.49933	-0.51511	29	6.58	n-PENTANE
11	0.66369	0.16209	0.02472	0.61897	0.49933	-0.51511	72	3.81	n-HEXANE
17	0.56090	0.11357	0.01915	0.61897	0.49933	-0.51511	47	4.25	n-HEPTANE
27	0.62290	0.15914	0.02715	0.61897	0.49933	-0.51511	36	6.56	n-OCTANE
46	0.66304	0.18135	0.02990	0.61897	0.49933	-0.51511	38	6.93	n-NONANE
56	0.57831	0.14794	0.02832	0.61897	0.49933	-0.51511	40	10.4	n-DECANE
63	0.56377	0.12737	0.02300	0.61897	0.49933	-0.51511	17	5.1	n-UNDECANE
64	0.46807	0.08818	0.02059	0.61897	0.49933	-0.51511	33	8.9	n-DODECANE
65	0.70590	0.19592	0.03150	0.61897	0.49933	-0.51511	18	9.3	n-TRIDECANE
66	0.47473	0.10044	0.02370	0.61897	0.49933	-0.51511	23	7.89	n-TETRADECANE
67	0.55790	0.10175	0.01658	0.61897	0.49933	-0.51511	16	12.31	n-PENTADECANE
68	0.59057	0.17467	0.03445	0.61897	0.49933	-0.51511	31	13.8	n-HEXADECANE
69	0.70773	0.16949	0.02421	0.61897	0.49933	-0.51511	14	10.64	n-HEPTADECANE
70	0.50846	0.13562	0.03199	0.61897	0.49933	-0.51511	11	4.97	n-OCTADECANE
73	0.51278	0.15075	0.03622	0.61897	0.49933	-0.51511	6	1.09	n-EICOSANE
77	0.60037	0.19390	0.04106	0.61897	0.49933	-0.51511	11	9.64	n-TETRACOSANE
2081	0.60037	0.19390	0.04106	0.61897	0.49933	-0.51511	11	9.64	n-Triacontane
8657	0.60037	0.19390	0.04106	0.61897	0.49933	-0.51511	11	9.64	n-Hexacontane
12	0.44778	0.05391	0.01118	0.61897	0.49933	-0.51511	5	3.95	2-METHYLPENTANE
13	0.40106	0.01346	0.00481	0.61897	0.49933	-0.51511	8	8.82	3-METHYLPENTANE
15	0.63294	0.13279	0.02132	0.61897	0.49933	-0.51511	13	10.81	2-3-DIMETHYLBUTANE
14	0.58971	0.10766	0.02102	0.61897	0.49933	-0.51511	25	8.57	2-2-DIMETHYLBUTANE
25	0.72181	0.17959	0.03367	0.61897	0.49933	-0.51511	8	4.02	2-2-3-TRIMETHYLBUTANE
104	0.58368	0.09878	0.01709	0.61897	0.49933	-0.51511	13	2.59	CYCLOPENTANE
137	0.56871	0.10934	0.02569	0.61897	0.49933	-0.51511	84	4.15	CYCLOHEXANE
138	0.72600	0.19499	0.03300	0.61897	0.49933	-0.51511	5	2.39	METHYLCYCLOHEXANE
159	0.67007	0.16039	0.03516	0.61897	0.49933	-0.51511	7	4.14	CYCLOHEPTANE
160	0.73745	0.18792	0.03462	0.61897	0.49933	-0.51511	8	2.03	CYCLOOCTANE
201	0.60011	0.05079	0.00418	0.55918	1.86257	-0.41664	70	7.47	ETHYLENE
501	0.67827	0.17288	0.02894	0.61897	0.49933	-0.51511	146	2.9	BENZENE
502	0.68491	0.19387	0.03164	0.61897	0.49933	-0.51511	76	22.69	TOLUENE
561	0.05642	0.15259	0.07571	0.61897	0.49933	-0.51511	28	52.78	o-TERPHENYL
1401	0.34510	0.00001	0.00166	0.61897	0.49933	-0.51511	10	3.3	DIMETHYLEther
1051	0.66463	0.13090	0.01682	0.61897	0.49933	-0.51511	20	7.36	ACETONE
919	0.71825	0.01956	0.00033	0.63817	0.27343	-0.83001	20	2.77	NEON
914	0.35696	0.00010	0.00075	0.70714	0.20000	-0.67232	77	7.62	ARGON
920	0.16669	0.00010	0.00425	0.75917	0.20043	-0.58234	84	6.98	KRYPTON
959	0.27818	0.00011	0.00587	0.69707	0.61263	-0.99252	26	6.58	XENON
909	0.36792	0.00010	0.00408	0.61761	0.42022	-0.51631	150	6.98	CO2
902	0.31806	0.00010	0.00192	0.71232	0.20000	-0.49517	156	5.23	METHANE
1101	0.80585	0.16247	0.01860	0.61897	0.49933	-0.51511	44	7.8	METHANOL
1102	0.59958	0.06525	0.01010	0.61897	0.49933	-0.51511	55	7.05	ETHANOL
1103	0.51251	0.03862	0.00991	0.61897	0.49933	-0.51511	32	5.59	1-PROPANOL
1104	0.38458	0.01334	0.00999	0.61897	0.49933	-0.51511	16	6.53	ISOPROPANOL
1105	0.71844	0.15278	0.02455	0.61897	0.49933	-0.51511	11	7.5	1-BUTANOL
1110	0.29997	-0.0291	0.00000	0.61897	0.49933	-0.51511	9	12.56	2-PENTANOL
1120	0.19853	-0.0492	0.00035	0.61897	0.49933	-0.51511	12	14.32	3-PENTANOL
1109	0.64542	0.11770	0.02184	0.61897	0.49933	-0.51511	22	7.9	1-PENTANOL
1114	0.77552	0.19975	0.03444	0.61897	0.49933	-0.51511	5	1.35	1-HEXANOL
1132	0.57016	0.14910	0.03021	0.61897	0.49933	-0.51511	9	16.37	1-OCTANOL
1108	0.88043	0.16961	0.02064	0.61897	0.49933	-0.51511	8	4.18	2-METHYL-2-PROPANOL
1921	0.36225	0.04933	0.00618	0.77173	2.37928	-0.53581	289	6.96	WATER
1940	0.82094	0.16844	0.01719	0.61897	0.49933	-0.51511	7	5.4	SF6
1479	0.82094	0.16844	0.01719	0.61897	0.49933	-0.51511	7	5.4	TETRAHYDROFURAN
1911	0.25812	-0.0176	0.00045	0.61897	0.49933	-0.51511	18	4.6	AMMONIA
1938	0.63567	0.16541	0.02418	0.61897	0.49933	-0.51511	10	3.59	CARBONDisulfide
1772	0.63567	0.16541	0.02418	0.61897	0.49933	-0.51511	10	3.59	ACETONITRILE
1501	0.69234	0.14194	0.01835	0.61897	0.49933	-0.51511	51	9.62	CCL4
1502	0.69234	0.14194	0.01835	0.61897	0.49933	-0.51511	51	9.62	CHLOROMETHANE
1511	0.69234	0.14194	0.01835	0.61897	0.49933	-0.51511	51	9.62	DICHLOROMETHANE
1521	0.69234	0.14194	0.01835	0.61897	0.49933	-0.51511	51	9.62	CHLOROFORM
1571	0.69234	0.14194	0.01835	0.61897	0.49933	-0.51511	51	9.62	CHLOROBENZENE
1791	0.69234	0.14194	0.01835	0.61897	0.49933	-0.51511	51	9.62	PYRIDINE
1616	0.69234	0.14194	0.01835	0.61897	0.49933	-0.51511	51	9.62	CF4
1615	0.69234	0.14194	0.01835	0.61897	0.49933	-0.51511	51	9.62	FLUOROFORM
1606	0.69234	0.14194	0.01835	0.61897	0.49933	-0.51511	51	9.62	CCLF3-R12
2654	0.69234	0.14194	0.01835	0.61897	0.49933	-0.51511	51	9.62	PERFLUOROCYCLOBUTANE
1860	0.56695	0.13249	0.02436	0.61897	0.49933	-0.51511	9	3.75	FLUOROBENZENE
