42 Silva et al. Table 3	sigLJ(A)	LJ1eps	epsLJ2	sigmaLJ2	A_D	E_D(J/mol)	sig(A)	T_D(K)	
914	3.42086	116.72	123.55	3.40744	0.9575	144.7	3.39771	1.17E+02	Argon
920	3.51883	162.08	511.92	2.8987	0.3725	651.06	4.81369	2.69E-03	Krypton
902	2.97182	25.7	0.00345	5.94111	0.8963	-43.15	7.39111	2.11E-04	Hydrogen
1938	4.26568	427.25	376.51	4.29901	1.0007	876.07	4.28933	3.00E+02	Carbondisulphide
909	3.65189	234.6	500.71	3.26192	1.139	1496.1	7.37016	4.91E-03	Carbondioxide
1	3.62414	147.37	167.15	3.58484	0.9028	254	4.78869	1.28E+00	Methane
201	3.98796	218.58	169.08	4.04838	0.987	340.25	4.04079	1.37E+02	Ethylene
2	4.15116	236.38	213.99	4.17587	1.2428	769.65	3.94898	8.92E+02	Ethane
3	4.61639	286.23	457.99	4.50412	1.2099	1147.69	4.35444	1.42E+03	Propane
5	5.11863	255.10	555.90	4.85263	1.2099	1147.69	4.35444	1.42E+03	n-Butane
11	5.64829	392.81	434.76	5.61841	0.7226	271.58	5.79056	1.64E+02	n-Hexane
17	5.93277	418.19	404.05	5.94356	1.1222	2702.7	12.1511	8.36E-03	n-Heptane
27	6.19947	440.25	478.32	6.17328	0.4845	-627.36	6.91989	3.77E+01	n-Octane
46	6.45874	460.22	497.35	6.43057	1.2737	3520.04	10.1873	2.22E-01	n-Nonane
56	6.6788	478.1	434.86	6.71395	1.3971	3756.8	10.0787	4.20E-01	n-Decane
64	7.11531	509.45	672.9	7.00451	0.7094	-1172.5	6.65194	1.15E+04	n-Dodecane
68	7.81479	558.83	1669.19	7.3648	0.3233	115.24	12.2268	3.79E-01	n-Hexadecane
2081	9.34225	1387.3	1387.3	9.34225	0.3233	115.24	12.2268	3.79E-01	n-Triacontane
8657	11.4959	2742.8	2742.8	11.4959	0.3233	115.24	12.2268	3.79E-01	n-Hexacontane
137	5.53736	428.41	224.87	5.73075	1.4797	1576.54	5.36688	8.71E+02	Cyclohexane
1984	5.75289	347.22	721.26	5.5331	1.389	2525.33	5.31579	2.17E+03	Tetramethylsilane
501	5.09489	435.14	308.43	5.19165	1.1031	989.82	4.95708	7.58E+02	Benzene
502	5.38047	458.05	350.74	5.4545	1.0086	1032.2	5.607	1.37E+02	Toluene
1571	5.31562	489.48	207.5	5.56838	1.4322	2860.12	6.38257	1.04E+01	Chlorobenzene
1502	4.05514	322.22	402.67	3.9952	0.5996	-267.01	5.203	3.78E+00	Chloromethane
1511	4.42807	394.74	411.02	4.41862	1.1804	2191.59	4.65153	7.09E+01	Dichloromethane
1521	4.81236	415.17	505.3	4.75692	1.732	2118.01	4.43628	9.77E+03	Chloroform
1501	5.28486	430.65	418.84	5.2924	1.759	2400.29	5.04569	1.28E+03	Carbontetrachloride
1615	4.1381	231.66	232.17	4.05121	1.8983	1862.78	3.80259	1.98E+03	Trifluoromethane
1616	4.47243	176.16	244.02	4.33323	1.1608	894.6	7.21628	1.33E-01	Carbontetrafluoride
1606	4.53887	233.75	410.79	4.37636	1.1278	1181.32	4.17242	1.55E+03	Chlorotrifluoromethane
1940	4.80883	246.67	271.68	4.76629	1.983	2302.57	4.27221	1.43E+04	SulfurHexafluoride
2654	5.68533	300.7	71.01	6.20449	0.7068	-1082.69	6.88164	1.16E+01	Perfluorocyclobutane
1911	3.20488	313.86	4.46	4.24397	1.5404	1498.65	10.17306	5.80E-05	Ammonia
1051	4.62591	393.27	332.97	4.67012	0.5775	-2249.42	4.40495	1.05E+04	Acetone
1252	4.50059	458.75	499.29	4.47879	1.4831	3875	5.29186	1.18E+01	AceticAcid
1791	4.91793	479.88	296.26	5.03753	5.3936	5728.94	4.52573	1.00E+04	Pyridine
1772	4.14496	422.22	652.53	4.02424	0.6656	527.85	11.8823	2.13E-04	Acetonitrile
1101	3.88974	396.75	685.96	3.79957	2.4728	5512.52	11.16008	1.28E-04	Methanol
1102	4.5	397.76	1291.41	4.23738	6.0393	9221.9	4.507	8.77E+01	Ethanol
1103	4.94161	415.48	2120.83	4.4919	19.1215	12573.39	4.77935	2.44E+02	Propanol
1921	2.88395	501.01	3788.51	1.53091	0.0044	971.93	0.24834	1.83E+01	Water
