37 idDippr	mEff,vEff,logCrhoDo			etag	eps_kChain=0.6*TcComp*( e0+deltaMeff*(e1+deltaMeff*e2) )	isNalkane	Name
1	1.0000	0.0259	-3.7670	0.5700	4.3	1	Methane
2	1.1100	0.0411	-3.7427	0.6126	12.4	1	Ethane
3	1.2200	0.0556	-3.7403	0.6475	31.5	1	Propane
5	1.3300	0.0702	-3.7487	0.6767	55.2	1	Butane
11	1.5500	0.0981	-3.7799	0.7226	108.8	1	n-hexane
17	1.6600	0.1129	-3.7987	0.7410	136.7	1	n-heptane
27	1.7700	0.1274	-3.8182	0.7571	164.5	1	n-octane
46	1.8800	0.1420	-3.8379	0.7713	192.0	1	n-nonane
56	1.9900	0.1562	-3.8576	0.7839	218.8	1	n-decane
64	2.2100	0.1848	-3.8962	0.8054	270.2	1	n-dodecane
68	2.6500	0.2428	-3.9678	0.8377	363.2	1	n-hexadecane
2081	4.1900	0.4340	-4.1637	0.8974	609.4	1	C30(pred)
6000	7.4900	0.8704	-4.4224	0.9426	903.9	1	C60(pred)
1938	1.361	0.04628	-3.606	0.653	33.2	0	CS2
909	1.072	0.03337	-3.553	0.644	0.0	0	CO2
137	1.387	0.08942	-3.747	0.690	255.7	0	cyclohexane
914	1.000	0.02058	-3.549	0.570	0.0	0	Argon
501	1.175	0.07639	-3.704	0.634	79.7	0	Benzene
502	1.240	0.08600	-3.779	0.653	109.7	0	Toluene
1616	1.157	0.04262	-3.588	0.628	191.1	0	CF4
201	1.200	0.03618	-3.727	0.642	36.6	0	ethylene
1502	1.143	0.03843	-3.614	0.624	36.2	0	chloromethane
1511	1.129	0.05061	-3.589	0.619	33.9	0	DichloroMethane
1521	1.336	0.06805	-3.635	0.646	14.5	0	Chloroform
1606	1.147	0.04930	-3.620	0.625	155.9	0	chlorotrifluoromethane
1501	2.5653	0.07634	-3.6462	0.7425	627.2	0	CCl4
1615	1.155	0.04186	-3.588	0.614	0.0	0	trifluoromethane
1940	1.334	0.05551	-3.546	0.582	18.4	0	sulfurhexafluoride
2654	1.616	0.09647	-3.678	0.597	0.0	0	PerfluoroCycloButane
1051	1.217	0.06097	-3.750	0.647	78.9	0	Acetone
1791	1.000	0.07495	-3.736	0.629	33.0	0	pyridine
902	1.048	0.01412	-3.722	0.590	0.0	0	hydrogen
1571	1.138	0.08860	-3.656	0.622	60.2	0	monochlorobenzene
1911	1.000	0.01968	-3.698	0.570	5.9	0	Ammonia
1101	1.152	0.03122	-3.647	0.627	146.2	0	methanol
1102	1.219	0.04587	-3.656	0.647	319.8	0	ethanol
1921	1.000	0.01030	-3.497	0.570	1419.4	0	water
