73	q	b(cc/mol)  	EOK(K)	Nd	KAD	EHB/RTc	Nas	Nds	qualCode
1001	1.4952	16.59	292.1	1	0.0158	2	2	5.537	3
1002	1.229	20.359	326.061	1	2.26E-02	1	1	5.17	3
1034	1.229	20.359	326.061	1	2.26E-02	1	1	5.17	3
1040	3.4765	47.761	280.687	1	1.00E-04	2	2	5.75	3
1041	3.244	35.702	370.351	1	0.0115	1	1	0.865	3
1051	3.0954	26.965	274.703	1	0.1	1	1	0.51	3
1101	1.229	20.359	326.061	1	0.0226	1	1	5.17	3
1102	2.0771	23.574	270.142	1	0.0283	1	1	4.86	3
1103	4.3678	25.119	242.515	1	1.00E-01	1	1	2.5	3
1104	3.5044	27.699	236.544	1	5.00E-02	1	1	3.75	3
1105	1.9688	37.348	341.11	1	6.48E-03	1	1	5.05	3
1106	2.7814	33.302	292.591	1	6.05E-03	1	1	4.5	3
1107	2.7814	33.302	292.591	1	6.05E-03	1	1	4.5	3
1108	2.7814	33.302	292.591	1	6.05E-03	1	1	4.5	3
1109	4.8859	34.036	267.844	1	1.58E-02	1	1	2.45	3
1115	4.0131	55.57	310.818	1	1.80E-03	1	1	5.74	3
1120	5.1091	64.299	312.769	1	1.40E-03	1	1	3.8	3
1125	5.2009	82.26	324.746	1	1.60E-03	1	1	3.9	3
1180	3.493	52.241	342.04	1	0.0108	1	1	3.553	3
1181	2.2286	33.925	415.933	1	0.0152	1	1	3.465	3
1182	3.0899	29.989	354.336	2	1.22E-02	1	1	2.67	3
1183	3.0899	29.989	354.336	3	1.22E-02	1	1	2.67	3
1185	8.5	53.9	230.59	1	0.005075994	2	2	1.6783	3
1190	3.1458	41.588	274.049	1	1.58E-02	1	1	2.45	3
1321	3.3948	29.955	274.817	1	0.00E+00	1	1	0	3
1400	3.4587	43.418	284.588	1	0.0226	1	1	5.17	3
1401	2.3873	19.645	242.914	1	0.0145	1	0	5	3
1402	2.9722	31.9	257.965	1	0.0226	1	1	5.17	3
1405	2.8847	36.842	277.769	1	0.0226	1	1	5.17	3
1407	2.7034	25.156	251.749	1	2.26E-02	1	1	5.17	3
1475	2.4516	22.858	294.116	1	0.0226	1	1	5.17	3
1479	2.5089	26.722	320.796	1	0.0226	1	0	5.17	3
1521	2.514	25.643	318.313	1	0.0143	0	1	3.2	3
1710	3.8852	29.78	244.199	1	0.009942	1	1	1.2658	3
1712	3.4633	33.786	272.17	1	1.09E-02	1	1	1.18	3
1721	3.4133	36.899	365.24	1	0.011	1	1	0.8604	3
1729	3.1295	40.645	332.29	1	0.0118	1	1	0.9779	3
1772	4.7333	9.438	176.99	1	9.80E+01	1	1	0.796	3
1773	3.4795	28.878	277.864	1	9.80E+01	1	1	0.757	3
1792	3.4133	36.899	365.24	1	0.011	1	1	0.8598	3
1889	3.6571	32.205	333.36	1	1.04E-02	2	2	0.915	3
1904	1	8.746	285.111	1	6.92E-01	1	1	1.297	3
1911	1.234	11.59	329.3	1	0.0223	1	1	2.96	3
1921	1.0101	9.411	427.254	1	1.00E-01	1	1	4	3
1922	1.0792	11.678	333.837	1	4.42E-02	1	1	2	3
8011	5.1	63.3	354.03	1	0.007971363	1	1	2.6588	3
8012	4.7	61.7	312.38	1	0.008423211	1	1	2.7364	3
8021	4.7	42.1	241.77	1	0.008457809	1	1	3.2172	3
8053	1065.3	12578.7	212.28	622	4.47E-05	1	1	0.354	3
11002	51.7	852.3	327.93	0	0.000905318	0	0	0	3
11007	179.1	3002.4	329.83	0	0.000264477	0	0	0	3
11038	968.1	16312.8	330.46	0	4.91E-05	0	0	0	3
11177	4397	75357.2	326.31	0	1.08E-05	0	0	0	3
11833	21202	357668	330.59	0	2.25E-06	0	0	0	3
12010	97.1	375.2	184.1	4252	0.000257405	0	0	0	3
12004	33.4	1561.9	491.37	0	0.000748127	0	0	0	3
12025	241.8	10652.8	375.2	0	0.000103385	0	0	0	3
12050	481.6	21260.8	375.2	0	5.19E-05	0	0	0	3
12097	795.2	38346.6	496.3	0	3.14E-05	0	0	0	3
12290	4524.72	114676	496.41	0	0	0	0	0	3
13040	329.8	17764.7	395.17	0	7.58E-05	0	0	0	3
14006	88	1871.6	266.7	0	0.00028424	0	0	0	3
15500	7118.9	170220	281.41	0	3.51E-06	0	0	0	3
16020	245.5	6411.3	300.53	0	0.000101835	0	0	0	3
17020	491.1	6214	356.05	0	9.68E-05	0	0	0	3
17170	2191.6	52904.3	356.35	0	1.14E-05	0	0	0	3
21150	1596.1	63466.9	365.66	0	1.57E-05	0	0	0	3
22020	451.5	8597.9	333.57	0	0.000105263	0	0	0	3
22070	1578.5	30117.5	333.79	0	3.02E-05	0	0	0	3
22140	3155.9	60238.9	333.84	0	1.51E-05	0	0	0	3
24089	4.9	56.3	258.37	1	0.008248105	1	1	3.1036	3
25001	10.9	298.2	358.71	0	0.004035493	0	0	0	3
25841	17583	357871	375.22	0	2.71E-06	0	0	0	3
18067	1292.3	26036.6	228.45	1522	1.93E-05	1	1	1.0775	3
19034	548.7	9753.5	403.39	544	8.66E-05	0	1	1.4	3
23050	955.4	19641.4	463.86	475	4.98E-05	1	0	2.183	3
23040	764.5	15712.7	463.78	380	6.22E-05	1	0	2.183	3
23065	1236.7	25434.1	463.91	514	3.85E-05	1	0	2.183	3
24088	1994.8	28071.5	293.89	475	2.39E-05	0	1	2	3
26068	1723.9	25349.6	305.69	474	2.76E-05	1	0	1.1049	3
27064	2046.5	26100.8	259.87	878	2.33E-05	1	1	1.0871	3
8087	4006.7	22547	208.21	1522	1.19E-05	1	1	1.0775	3
