253	q	EOK(K)	 b(cc/	k10	k11	KadNm3	eDon	eAcc	nDegree	#eDs	#eAs	idCas	Name
501	2.463	336.44	29.56	-0.7	2	0.001	1630	0	1	1	0	71432	Benzene(CHCL3+12DCE+111TCE/3)
502	2.825	333.89	36.28	-0.7	2	0.001	40	0	1	1	0	108883	Toluene(CHCL3+12DCE+MeOH+DCM/4)
504	3.137	333.8	42.31	-0.7	2	0.001	1350	0	1	1	0	100414	ethylbenzene(12DCE)
505	3.1665	339.5	41.646	-0.7	2	0.001	1350	0	1	1	0	95476	o-Xylene(EtOH)
507	3.272	327.8	43.06	-0.7	2	0.001	2050	0	1	1	0	106423	p-xylene(12DCE)
510	3.313	334	48.12	-0.7	2	0.001	780	0	1	1	0	98828	i-PropylBenzene(~Tol,NoAs)
518	3.811	331.8	54.23	-0.7	2	0.001	780	0	1	1	0	104518	n-ButylBenzene(~Tol,NoAs)
840	2.537	380.7	59.89	-0.7	2	0.001	780	0	1	1	0	80568	a-pinene(~Tol,NoAs)
902	0.563	49.27	5.36	-0.7	2	0	0	0	1	0	0	1333740	H2
905	1.255	107.13	9.9	-0.7	2	0.0005	0	0	1	0	0	7727379	N2(CO2)
908	1.327	109.2	10.16	-0.7	2	0.001	0	0	1	0	0	630080	CO(CO2)
909	2.556	179.22	10.56	-0.7	2	0.001	0	1030	1	0	1	124389	CO2(Ac=O)
910	2.761	245.41	13.82	-0.7	2	0.001	0	0	1	0	1	7446095	SO2(Ac=O)
912	3.588	88.77	7	-0.7	2	0.00023	624	624	1	1	1	10102439	NitricOXIDE
919	0.568	65.46	3.57	-0.7	2	0	0	0	1	0	0	7440019	Neon
925	0.563	56.95	4.89	-0.7	2	0	0	0	1	0	0	7782390	Deuterium
970	0.628	514.16	13.51	-0.7	2	0	0	0	1	0	0	7440019	Radon
1001	1.927	278.33	17.21	-0.7	2	0.0007	755	755	1	1	1	50000	FORMALDEHYDE
