242	q	EOK(K)	 b(cc/	KadNm3	eDon	eAcc	nDegree	#eDs	#eAs	idCas	Name
501	2.463	336.44	29.56	0.00100	1630	0	1	1	0	71432	Benzene(CHCL3+12DCE+111TCE/3)
502	2.825	333.89	36.28	0.00100	40	0	1	1	0	108883	Toluene(CHCL3+12DCE+MeOH+DCM/4)
504	3.137	333.80	42.31	0.00100	1350	0	1	1	0	100414	ethylbenzene(12DCE)
505	3.1665	339.50	41.646	0.00100	1350	0	1	1	0	95476	o-Xylene(EtOH)
507	3.272	327.80	43.06	0.00100	2050	0	1	1	0	106423	p-xylene(12DCE)
510	3.313	334.00	48.12	0.00100	780	0	1	1	0	98828	i-PropylBenzene(~Tol,NoAs)
518	3.811	331.80	54.23	0.00100	780	0	1	1	0	104518	n-ButylBenzene(~Tol,NoAs)
840	2.537	380.70	59.89	0.00100	780	0	1	1	0	80568	a-pinene(~Tol,NoAs)
902	0.563	49.27	5.36	0.00000	0	0	1	0	0	1333740	H2
905	1.255	107.13	9.90	0.00050	0	0	1	0	0	7727379	N2(CO2)
908	1.327	109.20	10.16	0.00100	0	0	1	0	0	630080	CO(CO2)
909	2.556	179.22	10.56	0.00100	0	1030	1	0	1	124389	CO2(Ac=O)
910	2.761	245.41	13.82	0.00100	0	0	1	0	1	7446095	SO2(Ac=O)
912	3.588	88.77	7.00	0.00023	624	624	1	1	1	10102439	NitricOXIDE
919	0.568	65.46	3.57	0.00000	0	0	1	0	0	7440019	Neon
925	0.563	56.95	4.89	0.00000	0	0	1	0	0	7782390	Deuterium
970	0.628	514.16	13.51	0.00000	0	0	1	0	0	7440019	Radon
1001	1.927	278.33	17.21	0.00070	755	755	1	1	1	50000	FORMALDEHYDE
1002	2.802	263.82	21.10	0.00070	730	0	1	1	0	75070	ACETALDEHYDE(~C3al,NoAs)
1003	2.866	282.45	25.12	0.00070	730	0	1	1	0	123386	PROPANAL(MeOHvl)
1005	2.906	298.45	30.69	0.00070	730	0	1	1	0	123728	BUTANAL(~C3al,NoAs)
1041	3.168	373.59	36.95	0.00070	730	0	1	1	0	100527	BENZALDEHYDE(~C3al,NoAs)
1051	3.115	275.53	26.74	0.00100	910	0	1	1	0	67641	ACETONE(CHCL3)
1052	3.281	284.56	31.64	0.00020	910	0	1	1	0	78933	MEK(CHCL3)
1054	3.456	299.17	42.55	0.00052	910	0	1	1	0	108101	MIBK(CHCL3)
1060	3.433	292.88	36.84	0.00029	910	0	1	1	0	107879	2-pentanone(MeOH)
1063	3.985	302.12	48.76	0.00070	910	0	1	1	0	110430	2-heptanone(MeOH)
1070	4.04	394.38	30.38	0.00080	1750	0	1	1	0	616455	2-pyrrolidone(MeOHvl)
1071	3.6198	369.23	38.27	0.00080	900	0	1	1	1	872504	NMP(pXylene; eD<0if111TCE,12DCE;eA<0ifMEK)
