Main type 	Sub type	Label	dTc	dPc	dVc	DTb	dTf	ex.
0	0	Tang						Tangent Sphere Site Type
0	1	CH4						Methane
0	2	Ar						Argon
0	3	NH3						Ammonia
0	4	H2S						062060ads/Hydrogen Sulfide
0	5	O=						half of O2 Dickerson et al (1974) p409
0	6	H=						half of H2 Dickerson et al (1974) p409
0	7	CO						half of CO Dickerson et al (1974) p417
0	8	c(=O)						half of CO2 Dickerson et al (1974) p417  mw=20.0109
0	9	F=?						half of F2? Dickerson et al (1974) p409
0	10	Cl=?						half of Cl2? Dickerson et al (1974) p409
0	11	2BD-						Liu's HB donor Ind. Eng. Chem. Res. 1994 33 pp 957-964
0	12	4BD-						Hydrogen Bonding Donor - 4B model (water)
0	13	2BA-						Liu's HB acceptor Ind. Eng. Chem. Res. 1994 33 pp 957-964
0	14	4BA-						Hydrogen Bonding Acceptor - 4B model (water)
0	15	D-						Unused donor
1	1	CH3a-	0.0141	-0.0012	65	23.58	-5.1	032806jre/1' branch e.g. end groups of nOctane cis2butene
1	2	CH3b-	0.0141	-0.0012	65	23.58	-5.1	032806jre/2' branch e.g. all CH3's in iButane or 23 dimethylbutane also the branched end CH3's of 2methyl-hexane but the other end would be 1'
1	3	CH3c-	0.0141	-0.0012	65	23.58	-5.1	032806jre/3' branch e.g. neopentane or 22 dimethylHexane
1	4	CH3d-	0.0141	-0.0012	65	23.58	-5.1	062060ads/033106jre/ Me in toluene pXylene cf Gray05
1	5	CH3e-	0.0141	-0.0012	65	23.58	-5.1	Me in methanol e.g. MeOH=1CH3d + 1*(Me)OH
1	6	CH3f-	0.0141	-0.0012	65	23.58	-5.1	Me in methyl ether or ester
1	7	CH3g-	0.0141	-0.0012	65	23.58	-5.1	Me in 2Alkyne CH3-C#C-R e.g. 2Butyne 2Pentyne 2Hexyne (necessary for 180'bond angle)
1	8	CH3h-	0.0141	-0.0012	65	23.58	-5.1	Me bonded to a sulfur e.g. propanethiol
1	9	CH3i-	0.0141	-0.0012	65	23.58	-5.1	in an acetate; vinyl acetate
1	10	CH3j-	0.0141	-0.0012	65	23.58	-5.1	072306jre/062060ads/bonded to nitrogen(jre nitro)
1	11	CH3k-	0.0141	-0.0012	65	23.58	-5.1	bonded to silicon
1	12	CH3l-	0.0141	-0.0012	65	23.58	-5.1	062060ads/033106jre/ Me in oXylene cf Gray05
1	13	CH3m-	0.0141	-0.0012	65	23.58	-5.1	ketone(e.g.acetone)
1	14	CH3n-	0.0141	-0.0012	65	23.58	-5.1	in tert-butyl acetate
1	15	CH3o-	0.0141	-0.0012	65	23.58	-5.1	11DiMeCycloHexane
1	16	CH3p-	0.0141	-0.0012	65	23.58	-5.1	acetamide
1	17	CH3q-	0.0141	-0.0012	65	23.58	-5.1	Methyl in acetone and 2-butanone (Shn 08202004)
1	18	CH3r-	0.0141	-0.0012	65	23.58	-5.1	triMePhosphate
1	19	CH3s-	0.0141	-0.0012	65	23.58	-5.1	CH3 in acetic acid
1	20	CH3t-	0.0141	-0.0012	65	23.58	-5.1	CH3 bonded to a halogen
1	21	CH3u-	0.0141	-0.0012	65	23.58	-5.1	Liu's (Me) Ind. Eng. Chem. Res. 1994 33 pp 957-964
1	22	CH3v-	0.0141	-0.0012	65	23.58	-5.1	cis-bounded CH3 groups...have an extra well
2	1	>CH2	0.0189	0	56	22.89	11.27	032806jre/nalkyl ether ester. e.g. nOctane groups that are NOT on chain ends also CH2's next to ether oxygen(cf. Unlu) or bound to ester oxygen
2	2	>CH2a	0.0189	0	56	22.89	11.27	e.g. -CH2-(OH) in ethanol
2	3	>CH2o	0.0189	0	56	22.89	11.27	e.g. -CH2-(OH) in nPropanol nButanol... (3/22/03)
2	4	>CH2b	0.0189	0	56	22.89	11.27	e.g. -CH2-(CH=) in 1-hexene 2hexene etc...
2	5	>CH2s	0.0189	0	56	22.89	11.27	CH2's next to Sulfur in dimethyl sulfur diethyl sulfur etc...
2	6	>CH2k	0.0189	0	56	22.89	11.27	e.g. 2Pentanone CH2 next to carbonyl carbon
2	7	>CH2y	0.0189	0	56	22.89	11.27	CH2 in alkyne R1-CH2-C#C-R2 e.g. 2Pentyne 2Hexyne 3Hexyne (necessary for 180'bond angle)
2	8	>CH2d	0.0189	0	56	22.89	11.27	bonded to an aromatic ring
2	9	>CH2r	0.0189	0	56	22.89	11.27	062060ads/in a non-aromatic ring (see site 2-19 30 27 24 21)
2	10	>CH2h	0.0189	0	56	22.89	11.27	bonded to a halogen
2	11	>CH2n	0.0189	0	56	22.89	11.27	070506ads/bonded to nitrogen or amine
2	12	>CH2Si	0.0189	0	56	22.89	11.27	bonded to silicon
2	13	>CH2do	0.0189	0	56	22.89	11.27	ortho bonded to an aromatic ring
2	14	>CH2p	0.0189	0	56	22.89	11.27	071406ads/CH2 bonded to oxygen in a pentagonal ring eg. THF
2	15	>CH2sa	0.0189	0	56	22.89	11.27	branched acetate i.e. 2-ethylhexyl Acetate
2	16	>CH2se	0.0189	0	56	22.89	11.27	Between two ester oxygens (i.e. in EtGlycolDiAcetate) Between double bounded CH and Ester Oxygen (i.e. Allyl Acetate)
2	17	>CH2al	0.0189	0	56	22.89	11.27	062060ads/bound to aldehyde -CHO
2	18	>CH2am	0.0189	0	56	22.89	11.27	beta carbon in amide
2	19	>CH2rb	0.0189	0	56	22.89	11.27	bonded to a nonaromatic ring
2	20	>CH2ph	0.0189	0	56	22.89	11.27	061306jre/phospho ether -CH2-[ O-(P=O)< ] triEthylPhosphate triEthylPhosphite
2	21	>CH2p	0.0189	0	56	22.89	11.27	071406ads/in a pentagonal ring eg. cycloPentane
2	22	>CH2ac	0.0189	0	56	22.89	11.27	062060ads/051206jre/bonded to >C= of carboxy acid e.g. propanoic acid butanoic acid
2	23	>CH2	0.0189	0	56	22.89	11.27	071006ads/CH2 in 6 membered ring of cyclohexanone
2	24	>CH2	0.0189	0	56	22.89	11.27	unused
2	25	>CH2	0.0189	0	56	22.89	11.27	unused
3	1	>CH-	0.0164	0.002	41	21.74	12.64	062060ads/032806jre/e.g. iButane 2MeHexane
3	2	>CH-	0.0164	0.002	41	21.74	12.64	062060ads/032806jre/double branched >CH- e.g. 23DiMethylButane
3	3	>CH-	0.0164	0.002	41	21.74	12.64	062060ads/2'alcohol branch
3	4	>CH-	0.0164	0.002	41	21.74	12.64	2'ether/ester branch e.g. ethylideneDiAcetate
3	5	>CH-	0.0164	0.002	41	21.74	12.64	e.g. iPentyne (35)
3	6	>CH-	0.0164	0.002	41	21.74	12.64	>CH- on a non-aromatic ring e.g. MeCyhex Decalin
3	7	>CH-	0.0164	0.002	41	21.74	12.64	>CH- bonded to an aromatic ring
3	8	>CH-h	0.0164	0.002	41	21.74	12.64	bonded to a halogen
3	9	>CH-	0.0164	0.002	41	21.74	12.64	bonded to sulfur
3	10	>CH-	0.0164	0.002	41	21.74	12.64	in an ester??? what does this mean how different from 304??? 061606jre
3	11	>CH-	0.0164	0.002	41	21.74	12.64	bonded to nitrogen
3	12	>CH-	0.0164	0.002	41	21.74	12.64	bonded to silicon
3	13	>CH-	0.0164	0.002	41	21.74	12.64	071006ads/CH bonded to an ether oxygen e.g. diisopropylether
3	14	>CH-	0.0164	0.002	41	21.74	12.64	>CH- on a non-aromatic 5 membered ring e.g. Metylcyclopentane
3	15	>CH-	0.0164	0.002	41	21.74	12.64	unused
3	16	>CH-	0.0164	0.002	41	21.74	12.64	unused
3	17	>CH-	0.0164	0.002	41	21.74	12.64	unused
3	18	>CH-	0.0164	0.002	41	21.74	12.64	unused
3	19	>CH-	0.0164	0.002	41	21.74	12.64	unused
3	20	>CH-	0.0164	0.002	41	21.74	12.64	unused
4	1	>C<	0.0067	0.0043	27	18.25	46.43	032806jre/e.g. neopentane or 22 dimethylHexane
4	2	>C<	0.0067	0.0043	27	18.25	46.43	carbon on a non-aromatic ring
4	3	>C<F	0.0067	0.0043	27	18.25	46.43	061206ads/bonded to a perflouro
4	4	>C<	0.0067	0.0043	27	18.25	46.43	bonded to sulfur
4	5	>C<	0.0067	0.0043	27	18.25	46.43	bonded to nitrogen
4	6	>C<	0.0067	0.0043	27	18.25	46.43	in ester (i.e. tert butyl)
4	7	>C<	0.0067	0.0043	27	18.25	46.43	bonded to halogen(nonperfl)
4	8	>C<	0.0067	0.0043	27	18.25	46.43	071906ads/tertbutanol
5	1	=ACH-b	0.0082	0.0011	41	26.73	8.13	benzene = 6*ACH
5	2	=ACH-d	0.0082	0.0011	41	26.73	8.13	diene  eg. cyclopentadiene thiophene
5	3	=ACH-o	0.0082	0.0011	41	26.73	8.13	062060ads/ortho to OH in phenol
5	4	=ACH-p	0.0082	0.0011	41	26.73	8.13	062060ads/ortho to CH3 in MePhenol
5	5	=ACH-q	0.0082	0.0011	41	26.73	8.13	062060ads/between OH and Me in m-MePhenol
6	1	>AC=t	0.0143	0.0008	32	31.01	37.02	e.g. toluene=5*ACH+CH3b
6	2	>AC=o	0.0143	0.0008	32	31.01	37.02	bonded to oxygen e.g. phenol phenylacetate
6	3	>AC=h	0.0143	0.0008	32	31.01	37.02	bonded to a halogen
6	4	>AC=n	0.0143	0.0008	32	31.01	37.02	bonded to nitrogen
6	5	>AC=a	0.0143	0.0008	32	31.01	37.02	between rings aromatic carbon e.g. naphthalene
7	1	CH2=a	0.0113	-0.0028	56	18.18	-4.32	e.g. 1hexene 1*CH2= + 1*=CH- + 3CH2 + 1*CH3a
7	2	CH2=b	0.0113	-0.0028	56	18.18	-4.32	i.e. propylene= 1*CH2=b + 1*=CH- + 1*CH3a  special group just for propylene.
7	3	CH2=v	0.0113	-0.0028	56	18.18	-4.32	i.e. vinyl ester = 1*CH2=c + 1*=CH- + 1*>C=+ 1*CH3i+ 1*>O + O=
7	4	CH2=b	0.0113	-0.0028	56	18.18	-4.32	i.e. propylene= 1*CH2=b + 1*=CH- + 1*CH3a  special group just for propylene.
7	5	CH2=b	0.0113	-0.0028	56	18.18	-4.32	i.e. propylene= 1*CH2=b + 1*=CH- + 1*CH3a  special group just for propylene.
8	1	=CH-	0.0129	-0.0006	46	24.96	8.73	e.g. propylene= 1*CH2= + 1*=CH- + 1*CH3a  !todo:this is set high so the program will run for butadiene!!! fix it!!!!
