24227 TRCID	CASRN	Nist-Kt
1	1943084	2 1 14 2 1 182
2	1943095	2 1 18 2 1 182
3	1974045	2 1 4 2 1 3 1 130
4	1974056	2 1 4 2 1 3 1 130
5	2004037	1 15 1 16 1 18 1 80 2 82 1 92
6	2040075	1 1 2 15 3 18 1 46
7	2050013	4 1 2 2 1 3 1 53
8	2050091	3 1 4 2 1 3 1 52
10	2052075	9 15 2 16 1 131
11	2088075	2 1 1 2 1 3 1 7 1 204
12	2157019	2 1 7 2 1 7 1 58
13	2164081	8 27 1 28 1 33 1 47 1 183
14	2164092	1 1 1 7 3 15 2 109 1 176
15	2170038	1 27 1 31 1 97
16	2207014	2 1 4 27 2 28
17	2207047	2 1 4 27 2 28
18	2210073	1 1 3 27 1 28 1 168
19	2217074	2 1 4 2 5 15 1 81
21	2244077	1 1 8 2 1 86
22	2349077	3 1 5 2 1 53
23	2400013	2 1 10 2 5 15 1 20
24	2400035	2 1 17 2 5 15 1 20
25	2400046	2 1 17 2 5 15 1 20
26	2402064	2 1 1 27 2 28
27	2425107	3 15 2 18 1 65 1 166
28	2426075	4 2 2 188
29	2426086	1 1 3 2 1 60 1 188
30	2438053	1 1 1 2 4 15 1 19 1 96
31	2449107	2 1 16 2 2 52
32	2459076	1 1 1 58 1 77
33	2459098	1 1 1 58 1 77
34	2467109	3 2 1 99 1 106
35	2473032	1 1 9 2 1 99
36	2505035	6 27 1 31
37	2536052	8 15 1 16 1 19 2 177
38	2603103	5 15 1 59 1 176
40	2687129	5 15 1 23 1 99
41	2690086	2 1 13 2 1 143
42	2713099	1 13 1 119
43	2855085	3 1 1 2 1 4 1 99
44	2870044	1 1 3 15 2 18 1 19
45	2883025	1 1 8 2 5 27 1 28
46	2883081	1 1 2 2 1 3 10 27 2 28
47	2934056	4 1 3 15 2 20 1 37
48	2934078	6 1 2 15 3 20 1 37
49	2981104	9 27 1 32 1 84
50	3010024	2 1 1 2 1 75 1 86
51	3010035	5 27 1 84 1 86
52	3019043	1 2 1 42 1 128
53	3072035	2 1 40 2 2 52
54	3076048	1 1 12 2 1 5 1 58
55	3100047	1 1 1 27 1 32
56	3133015	1 1 22 2 1 34
57	3143086	4 1 8 2 2 15 4 56
58	3218028	5 27 1 28 1 67
59	3228011	2 1 3 15 1 18 1 20 1 37
60	3228022	2 1 3 15 1 18 1 20 1 37
61	3228033	2 1 3 15 1 18 1 20 1 37
62	3228044	2 1 3 15 1 18 1 20 1 37
63	3248053	6 15 4 17 2 18 2 82
64	3316094	3 15 2 37 1 136
65	3319015	10 27 1 28 1 84
66	3319037	1 1 1 2 5 15 1 46 1 74
67	3327068	5 1 1 15 5 56
68	3373102	6 1 2 2 4 15 2 21
69	3452071	1 1 17 2 1 5
70	3452093	1 1 6 2 1 13
71	3454077	1 1 4 15 1 19 1 22
73	3481025	5 15 2 27 1 28 1 46
74	3637012	1 1 3 15 2 18 1 46
75	3637114	4 1 2 27 2 29 1 34 1 47 1 84
76	3852093	1 1 1 2 1 52 1 59
77	3863114	3 15 1 79 2 118
78	3894095	5 15 1 20 5 27 1 28 1 94
79	3913028	2 1 9 2 1 3 1 34
80	3953104	2 1 3 2 1 3 1 5 1 58
81	3988032	8 15 1 16 1 46 2 131
82	4016119	1 1 1 2 1 60 1 188
83	4038044	2 1 2 2 1 3 1 5
84	4113126	2 1 29 2 1 60
85	4223114	1 1 3 2 1 5 2 60
86	4254028	4 27 1 87
87	4272064	2 1 8 2 1 3 1 204
88	4281043	1 1 1 28 3 30
89	4339053	2 1 2 2 1 4 1 13 1 205
90	4383113	3 1 1 3 5 15 1 21 1 205
91	4421094	3 15 2 16 1 27 2 64 1 89
92	4421107	4 1 2 3 2 27 1 29 2 64
93	4426113	3 27 1 87
94	4433107	8 15 2 16 2 18
95	4445061	1 1 17 2 5 27 1 28
96	4445072	1 1 16 2 5 15 1 19
97	4467065	4 15 1 16 1 18 1 77
98	4537115	2 1 7 2 5 15 1 20
99	4537126	2 1 7 2 5 15 1 20
100	4621049	2 1 1 3 4 27 2 28 1 204
101	4744085	3 1 1 2 1 3 2 60
102	4744109	1 1 1 2 1 3 2 59
103	4747073	1 1 5 2 1 59
104	4767037	1 1 2 2 1 4 2 34 1 94
105	4860031	1 1 14 2 1 99
106	4862037	1 1 13 2 1 99
107	4935017	1 1 2 27 1 28 1 54
108	4952038	1 1 5 27 1 34 1 62
109	4984014	3 1 3 2 2 3 1 5
110	5144116	2 1 3 84 1 93
111	5277112	2 1 6 2 1 74
112	5328018	1 1 1 2 7 15 2 17 1 65
113	5332069	2 2 1 86 1 130
114	5351042	2 1 2 2 1 75 1 86
115	5390045	3 2 1 13 1 34
116	5433012	2 1 4 15 1 20 1 131
117	5454091	2 1 10 2 1 52
118	5465098	2 1 3 27 2 28 1 47
120	5744036	9 27 4 28
121	5750027	2 1 1 2 1 3 2 27 1 28
122	5769119	5 15 5 27 1 28 1 42 1 81
123	5911046	3 1 6 2 1 3
124	6089094	2 2 1 13 1 94
125	6094026	2 1 3 2 1 7
126	6137037	2 1 2 2 1 3 1 42
127	6137117	3 1 2 2 1 3 1 43
128	6154047	1 1 1 70 3 84 1 93
129	6225101	1 1 3 2 1 166
130	6285069	2 1 2 2 1 4 1 13 1 205
131	6306076	6 15 2 16 2 17 1 27 1 28 1 204
132	6351106	4 15 2 16 2 27 1 28 1 204
133	6382065	2 1 4 2 1 53 1 204
134	6415129	2 1 2 74
135	6513037	2 1 8 2 1 52
136	6628042	5 15 2 17 1 18 1 79 1 82
137	6630019	4 1 3 15 1 18 1 19 1 21
138	6634011	4 1 4 2 2 15 4 56
139	6697127	1 1 14 2 5 15 1 46
140	6737117	1 1 1 3 1 5 1 51
141	6929084	2 1 8 2 1 3 1 204
142	6938063	1 1 3 2 1 58 1 77
143	6957091	4 15 1 16 1 18 5 27 1 29 1 205
144	7058017	2 1 1 2 1 3 5 27 1 28
145	7098079	1 1 1 2 1 30 1 84 1 92
146	7182107	1 1 1 2 1 6 5 27 1 84
147	7294055	5 1 1 2 2 4 1 205
148	7297112	1 1 4 2 1 60 1 188
