20768 TRCID	CASRN	Nist-Mod
1166	127195	1 1 1 101
5667	75569	1 1 1 107
7700	15448472	1 1 1 107
7701	16088623	1 1 1 107
22736	27990234	1 1 1 11 1 12 1 17 3 57
16658	0	1 1 1 114
7178	109900	1 1 1 118
13874	606075	1 1 1 12 5 53
4798	616024	1 1 1 121 1 202
658	109864	1 1 1 131
5640	75183	1 1 1 134
7854	1618264	1 1 1 134 1 135
28516	20333395	1 1 1 134 1 135
9268	116096	1 1 1 14 1 19
6459	96355	1 1 1 14 1 22
7868	1717006	1 1 1 145
5655	75376	1 1 1 146
7566	992949	1 1 1 170
33004	2171962	1 1 1 174
10904	1804155	1 1 1 177 1 310
5353	67641	1 1 1 18
3903	520456	1 1 1 18 1 126 1 202 1 301
4993	625605	1 1 1 18 1 135
1110	123546	1 1 1 18 1 19
4594	600146	1 1 1 18 1 19
403	105453	1 1 1 18 1 22
25258	19701838	1 1 1 18 1 33 1 92
25259	22715680	1 1 1 18 1 33 1 92
17138	0	1 1 1 18 1 64 1 301
19082	0	1 1 1 18 1 64 1 70 1 82
22293	0	1 1 1 18 1 69 1 70 1 82
4595	600226	1 1 1 18 1 77
30836	4253343	1 1 1 18 2 21 1 176
18339	0	1 1 1 18 3 78 1 79 1 202
17442	136933863	1 1 1 18 5 78 5 79 1 301
11213	102402846	1 1 1 18 6 78 3 79 1 80 1 301
2843	3031741	1 1 1 182
2138	2044646	1 1 1 19 1 101
29205	625343	1 1 1 19 1 20
7126	51989	1 1 1 19 1 21 1 65 7 78 4 79 2 80 1 202
4396	5878193	1 1 1 19 1 24
21721	0	1 1 1 19 1 34 5 78 1 79
30789	541504	1 1 1 19 1 42
5176	6322492	1 1 1 19 1 44
52	3019043	1 1 1 19 1 63
19252	0	1 1 1 19 1 63
4567	598221	1 1 1 19 1 64
6943	68224	1 1 1 19 1 65 7 78 4 79 2 80 1 82 1 202
829	1120736	1 1 1 19 1 78 1 202
2679	2758181	1 1 1 19 1 78 1 202
31672	765708	1 1 1 19 1 78 1 301
2393	2314785	1 1 1 19 1 78 1 87
3179	3612188	1 1 1 19 2 78 1 190
1000	1193551	1 1 1 19 2 78 1 301
1852	1757422	1 1 1 19 2 78 1 79
4423	589924	1 1 1 19 3 78 1 79
4450	591242	1 1 1 19 3 78 1 79
16559	0	1 1 1 19 4 78 1 202
349	103786	1 1 1 19 5 78 1 79
26323	20379991	1 1 1 19 5 78 1 79 1 80
26685	13351296	1 1 1 19 5 78 1 79 1 80
5694	758963	1 1 1 2 1 101
7779	106887	1 1 1 2 1 107
7180	110781	1 1 1 2 1 118
713	110805	1 1 1 2 1 131
5245	64175	1 1 1 2 1 14
25517	142267	1 1 1 2 1 14 1 100
4929	623507	1 1 1 2 1 14 1 22
27318	6149413	1 1 1 2 1 14 1 22
22473	0	1 1 1 2 1 14 1 27 1 78 1 79 1 80 1 82
4818	6168725	1 1 1 2 1 14 1 30
6768	35320231	1 1 1 2 1 14 1 30
21553	2749113	1 1 1 2 1 14 1 30
2755	2902967	1 1 1 2 1 14 1 56
5756	764012	1 1 1 2 1 14 1 66
2674	2746147	1 1 1 2 1 14 2 78 1 80
27775	0	1 1 1 2 1 14 3 78 2 79
26344	24453336	1 1 1 2 1 14 4 78 2 79
30668	34885035	1 1 1 2 1 14 4 78 2 79
24193	430615	1 1 1 2 1 146
27627	2814791	1 1 1 2 1 170
2380	2307100	1 1 1 2 1 18 1 135
1351	141979	1 1 1 2 1 18 1 22
26883	35023279	1 1 1 2 1 18 1 33 1 92
4820	617356	1 1 1 2 1 18 1 77
30893	17689779	1 1 1 2 1 18 2 21 1 176
4662	6068968	1 1 1 2 1 182
1117	123762	1 1 1 2 1 19 1 42
4404	5891214	1 1 1 2 1 19 1 44
10077	22020877	1 1 1 2 1 19 1 55
28607	797637	1 1 1 2 1 19 1 65 7 78 4 79 2 80 1 82 1 202
13919	2931104	1 1 1 2 1 19 1 78 1 202
19191	0	1 1 1 2 1 19 2 78 1 301
12723	22461898	1 1 1 2 1 19 3 78 1 79
1108	123386	1 1 1 2 1 20
30731	3268493	1 1 1 2 1 20 1 135
15680	99799878	1 1 1 2 1 20 4 78 1 80
8343	584032	1 1 1 2 1 205
1344	141786	1 1 1 2 1 21
76	3852093	1 1 1 2 1 22 1 24
3309	3878555	1 1 1 2 1 22 1 42
2914	3153375	1 1 1 2 1 22 1 44
4928	623483	1 1 1 2 1 22 1 63
397	105362	1 1 1 2 1 22 1 64
30948	53841079	1 1 1 2 1 22 1 65
31162	1932929	1 1 1 2 1 22 1 65
30231	1646161478	1 1 1 2 1 22 2 78 1 188 1 190
1550	1551446	1 1 1 2 1 22 5 78 1 79
662	109944	1 1 1 2 1 23
4046	540670	1 1 1 2 1 24
26597	5417425	1 1 1 2 1 24 1 100
25519	40453778	1 1 1 2 1 24 1 132
26598	623698	1 1 1 2 1 24 1 133
30834	37143547	1 1 1 2 1 24 1 30
29825	628900	1 1 1 2 1 24 1 309
15500	82481285	1 1 1 2 1 24 1 77 2 78 1 79 1 202
14657	27326825	1 1 1 2 1 24 1 77 3 78 1 203
82	4016119	1 1 1 2 1 25 1 107
27309	1874620	1 1 1 2 1 25 1 205
711	110769	1 1 1 2 1 25 1 29
13275	2141620	1 1 1 2 1 25 1 41
15298	66502258	1 1 1 2 1 25 1 41
5049	627032	1 1 1 2 1 25 1 42
5084	628342	1 1 1 2 1 25 1 44
10117	42434297	1 1 1 2 1 25 1 44 1 45
10279	72372806	1 1 1 2 1 25 1 74 3 75
19117	0	1 1 1 2 1 25 1 78 1 202
13213	16112600	1 1 1 2 1 25 1 79 1 125
9211	90970722	1 1 1 2 1 25 1 79 1 126
9212	90971043	1 1 1 2 1 25 1 79 1 126
12519	1003301	1 1 1 2 1 25 2 78 1 79
8244	4437858	1 1 1 2 1 26 1 78 1 126
2266	2177222	1 1 1 2 1 27 1 44 1 80
494	107108	1 1 1 2 1 29
3531	4426486	1 1 1 2 1 29 1 30
25070	110725	1 1 1 2 1 29 1 32
30980	108009	1 1 1 2 1 29 1 34
30671	38433806	1 1 1 2 1 3 1 14 1 20
17601	31066407	1 1 1 2 1 3 1 14 1 30 1 81
18201	0	1 1 1 2 1 3 1 14 1 44
13653	927571	1 1 1 2 1 3 1 14 1 66 1 81
33405	5422344	1 1 1 2 1 3 1 14 1 81 1 100
551	107891	1 1 1 2 1 3 1 20 1 81
597	108656	1 1 1 2 1 3 1 21 1 24
13869	2114321	1 1 1 2 1 3 1 21 5 78 1 79
17679	4446871	1 1 1 2 1 3 1 24 1 44
28855	13071620	1 1 1 2 1 3 1 24 1 81
14132	116779783	1 1 1 2 1 3 1 4 4 64
2823	300856	1 1 1 2 1 3 1 42 1 81
12679	1873252	1 1 1 2 1 3 1 44 1 81
18202	2203341	1 1 1 2 1 3 1 44 1 81
13229	1777339	1 1 1 2 1 3 1 5 1 20
17745	59967145	1 1 1 2 1 3 1 5 1 63
17837	66688617	1 1 1 2 1 3 1 5 1 63
11728	31950568	1 1 1 2 1 3 1 5 1 64
19972	1996889	1 1 1 2 1 3 1 5 1 74 7 75 1 77
2569	999611	1 1 1 2 1 3 1 5 1 77 1 81
4809	616251	1 1 1 2 1 3 1 5 1 81
25168	3156749	1 1 1 2 1 3 1 55 1 81
9091	0	1 1 1 2 1 3 1 6 1 14 1 81
18952	0	1 1 1 2 1 3 1 6 1 65 1 81
7616	2117115	1 1 1 2 1 3 1 65 1 81
10666	159407280	1 1 1 2 1 3 1 65 1 81
27767	356229	1 1 1 2 1 3 1 74 2 75 1 81
3426	41851347	1 1 1 2 1 3 10 78 2 79
11995	54934917	1 1 1 2 1 3 10 78 2 79
11336	1520452	1 1 1 2 1 3 10 9 2 12
4936	623847	1 1 1 2 1 3 2 21
7733	7778850	1 1 1 2 1 3 2 24
3755	498215	1 1 1 2 1 3 2 42
4607	601752	1 1 1 2 1 3 2 42
29383	2174585	1 1 1 2 1 3 2 42
29384	3641518	1 1 1 2 1 3 2 42
12210	623347	1 1 1 2 1 3 2 44
1542	1541339	1 1 1 2 1 3 2 5
24210	598298	1 1 1 2 1 3 2 63
5885	78751	1 1 1 2 1 3 2 64
12139	598174	1 1 1 2 1 3 2 64
30592	23229698	1 1 1 2 1 3 2 9 1 81 1 105
12696	19833897	1 1 1 2 1 3 4 78 1 79 1 81
1812	17264027	1 1 1 2 1 3 5 78 1 79 1 81
13820	76019868	1 1 1 2 1 3 5 78 1 79 1 81
29698	0	1 1 1 2 1 3 5 9 1 12 1 25 1 81
29507	14611519	1 1 1 2 1 3 5 9 1 12 1 34 1 65
27756	565015	1 1 1 2 1 3 5 9 1 74 2 75 1 77 1 306
2717	2835816	1 1 1 2 1 30 1 42
6646	1492246	1 1 1 2 1 30 1 42
7656	2623918	1 1 1 2 1 30 1 42
13695	541480	1 1 1 2 1 30 1 42
11025	102418699	1 1 1 2 1 30 1 42 1 100
7101	63683	1 1 1 2 1 30 1 42 1 135
7726	59518	1 1 1 2 1 30 1 42 1 135
4961	624782	1 1 1 2 1 31
13049	627394	1 1 1 2 1 310
21707	0	1 1 1 2 1 33 1 77 4 78
7075	1738256	1 1 1 2 1 34 1 41
789	1118689	1 1 1 2 1 34 1 42
30619	108021	1 1 1 2 1 34 1 60
5550	7223383	1 1 1 2 1 34 1 65
360	104198	1 1 1 2 1 34 2 78 1 189 1 190
1715	16607800	1 1 1 2 1 34 5 78 1 79
14338	1573677	1 1 1 2 1 4 1 5 1 65 1 82
29385	6236095	1 1 1 2 1 4 2 42 1 82
29386	6236108	1 1 1 2 1 4 2 42 1 82
14340	1573699	1 1 1 2 1 4 2 5 1 66 1 82
1403	14476303	1 1 1 2 1 4 3 64
