   13  501 1051  118 BENZENE ACETONE Mueller E., Stage H. (1961) Dargestellt am Beispiel des Siedeverhaltens von Fettsäuren, 1-117, 1961 
  353.25   0.1013   0.0000  0.00000          
  350.95   0.1013   0.0290  0.09100
  347.55   0.1013   0.0830  0.22300
  343.65   0.1013   0.1780  0.37400
  340.65   0.1013   0.2750  0.48800
  337.05   0.1013   0.4390  0.63200
  334.15   0.1013   0.5920  0.74200
  332.75   0.1013   0.6930  0.80600
  331.65   0.1013   0.7860  0.86500
  330.65   0.1013   0.8730  0.91600
  329.95   0.1013   0.9420  0.96400
  329.55   0.1013   0.9810  0.98800
  329.35   0.1013   1.0000  1.00000
   22  501 1706  255 BENZENE TRIETHYLAMINE LETCHER T.M.,BAYLES J.W., J.CHEM.ENG.DATA 16,266(1971).
  353.15   .07626   .00000   .00000
  353.15   .07829   .05900   .08200
  353.15   .07938   .09100   .12400
  353.15   .08083   .13500   .18000
  353.15   .08266   .19100   .24900
  353.15   .08361   .21800   .28100
  353.15   .08534   .27300   .34200
  353.15   .08669   .31400   .38650
  353.15   .08802   .35800   .43400
  353.15   .08950   .40900   .48200
  353.15   .09066   .44100   .51600
  353.15   .09201   .49500   .56400
  353.15   .09317   .53500   .60200
  353.15   .09415   .57300   .63600
  353.15   .09545   .63000   .68500
  353.15   .09617   .66000   .71200
  353.15   .09707   .71000   .75600
  353.15   .09807   .76700   .80500
  353.15   .09925   .85700   .88000
  353.15   .09946   .87300   .89350
  353.15   .10002   .91800   .93100
  353.15   .10103  1.00000  1.00000
   13 1761   27  224 NITROETHANE OCTANE EDWARDS J.B., THESIS GEORGIA INSTITUTE OF TECHNOLOGY JUNE 1962.
  308.15   .00321   .00000   .00000
  308.15   .00366   .01360   .13360
  308.15   .00423   .03350   .26410
  308.15   .00577   .11410   .49420
  308.15   .00639   .17590   .56080
  308.15   .00654   .19670   .57490
  308.15   .00675   .23880   .59560
  308.15   .00681   .85220   .62980
  308.15   .00668   .87900   .64900
  308.15   .00648   .90630   .67860
  308.15   .00618   .93380   .72470
  308.15   .00572   .96170   .79930
  308.15   .00473  1.00000  1.00000
   11 1501 1252  431 TETRACHLROMETHANE ACETIC PLEKHOTKIN V.F.,MARKUZIN N.P., FIZ.KHIM.SVOISTVA RASTVOROV, LENINGRAD (1964).
  293.15   .00157   .00000   .00000
  293.15   .00597   .12000   .63400
  293.15   .00817   .22500   .78200
  293.15   .01016   .42700   .85100
  293.15   .01061   .49100   .86600
  293.15   .01109   .59200   .88600
  293.15   .01141   .68900   .90600
  293.15   .01163   .77600   .92400
  293.15   .01184   .88800   .95800
  293.15   .01195   .97400   .98800
  293.15   .01213  1.00000  1.00000
   10  504 1774  269 ETHYLBENZENE ACRYLONITRILE LAEVSKAYA N.S.,BAGROV I.V.,DOBROSERDOV L.L., ZH.PRIKL.KHIM.(LENINGRAD) 49,2460(1976).
  282.95   .00667   .00000   .00000
  283.45   .00667   .00800   .00300
  284.25   .00667   .10200   .02300
  285.15   .00667   .13100   .02600
  286.45   .00667   .19600   .03300
  286.85   .00667   .24700   .03700
  299.05   .00667   .67400   .13800
  316.85   .00667   .93900   .50500
  328.65   .00667   .99000   .86500
  330.85   .00667  1.00000  1.00000
   17 1251 1252  445 FORMIC ACETIC ALPERT N.,ELVING P.J., IND.ENG.CHEM. 41,2864(1949).
  391.25   .10133   .00000   .00000
  389.15   .10133   .05300   .10100
  387.85   .10133   .12700   .16700
  387.25   .10133   .15100   .20100
  385.45   .10133   .22900   .29500
  384.25   .10133   .27700   .36200
  382.85   .10133   .36100   .43500
  381.45   .10133   .44500   .52500
  379.85   .10133   .51100   .59600
  379.25   .10133   .57200   .63400
  378.25   .10133   .64200   .69900
  376.95   .10133   .72700   .77000
  375.85   .10133   .79800   .83400
  374.65   .10133   .89200   .90900
  374.25   .10133   .94300   .96800
  374.15   .10133   .95500   .97300
  373.95   .10133  1.00000  1.00000
   13 1304 1251  441 BUTYL FORMIC TROFIMOV A.N., ZH.PRIKL.KHIM.(LENINGRAD) 45(1),263(1972).
  373.95   .10133   .00000   .00000   Exptl Tc,Pc,w=  588.00   5.8100    .3125 
  372.70   .10133   .05000   .06300
  372.25   .10133   .10000   .10700
  372.25   .10133   .20000   .18300
  372.85   .10133   .30000   .25400
  373.70   .10133   .40000   .33200
  374.65   .10133   .50000   .42100
  375.70   .10133   .60000   .51700
  376.75   .10133   .70000   .62200
  377.85   .10133   .80000   .73900
  379.00   .10133   .90000   .86400
  379.55   .10133   .95000   .93100
  380.15   .10133  1.00000  1.00000     
   21 1571 1253  443 CHLROBENZENE PROPIONIC KOGAN E.A.,BELOGUROVA N.V.,YARYM-AGAEV N.L., ZH.FIZ.KHIM. 49,1345(1975).
  313.15   .00136   .00000   .00000	600.81    4.668    0.5796
  313.15   .00144   .01800   .00500
  313.15   .00152   .03600   .10000
  313.15   .00159   .05400   .15000
  313.15   .00171   .07300   .20000
  313.15   .00180   .09300   .25000
  313.15   .00191   .11400   .30000
  313.15   .00203   .13800   .35000
  313.15   .00213   .16400   .40000
  313.15   .00227   .19400   .45000
  313.15   .00240   .23000   .50000
  313.15   .00253   .27000   .55000
  313.15   .00268   .32000   .60000
  313.15   .00283   .37800   .65000
  313.15   .00297   .44800   .70000
  313.15   .00312   .52900   .75000
  313.15   .00327   .62000   .80000
  313.15   .00339   .72200   .85000
  313.15   .00349   .83000   .90000
  313.15   .00357   .92100   .95000
  313.15   .00363  1.00000  1.00000
   13  501  502  416 BENZENE TOLUENE ROLLET A.P.,ELKAIM G.,TOLEDANO P.,SENEX M. COMP.REND. 242,2560(1956).
  383.76   .10133   .00000   .00000
  381.51   .10133   .05000   .10800
  379.37   .10133   .10000   .20600
  375.39   .10133   .20000   .37200
  371.76   .10133   .30000   .50800
  368.45   .10133   .40000   .62100
  365.40   .10133   .50000   .71400
  362.59   .10133   .60000   .79200
  359.99   .10133   .70000   .85700
  357.58   .10133   .80000   .91300
  355.34   .10133   .90000   .96000
  354.27   .10133   .95000   .98100
  353.25   .10133  1.00000  1.00000
   17   17  504  414 ETHYLBENZENE HEPTANE MENTZER R.A.,GREENKORN R.A.,CHAO K.C., J.CHEM.THERMODYN. 14,817(1982).
  327.76   .00583   .00000   .00000
  327.76   .00860   .10500   .38200
  327.76   .01041   .18800   .53200
  327.76   .01225   .28500   .64200
  327.76   .01386   .38000   .71800
  327.76   .01408   .39200   .72600
  327.76   .01485   .44200   .75700
  327.76   .01501   .45100   .76500
  327.76   .01574   .50100   .79100
  327.76   .01605   .52200   .80200
  327.76   .01666   .56500   .82300
  327.76   .01691   .58100   .83000
  327.76   .01773   .64000   .85700
  327.76   .01885   .72100   .89100
  327.76   .01987   .79400   .92100
  327.76   .02103   .87700   .95300
  327.76   .02272  1.00000  1.00000
   21   27  504  417 OCTANE ETHYLBENZENE YANG C.P.,VANWINKLE M.,IND.ENG.CHEM.47,293(1955). 
  409.35   .10133   .00000   .00000
  408.25   .10133   .04900   .07600
  407.25   .10133   .09600   .14400
  406.35   .10133   .15000   .21700
  405.55   .10133   .20100   .27800
  404.85   .10133   .25100   .33900
  404.15   .10133   .30400   .39200
  403.35   .10133   .35900   .44800
  402.85   .10133   .41800   .50100
  402.25   .10133   .46600   .54100
  401.95   .10133   .51600   .58600
  401.35   .10133   .57000   .63900
  400.95   .10133   .62400   .68100
  400.45   .10133   .67100   .72300
  400.05   .10133   .72000   .75800
  399.75   .10133   .77200   .80100
  399.45   .10133   .82200   .84100
  399.15   .10133   .86900   .88500
  399.05   .10133   .90900   .91900
  398.95   .10133   .95700   .96200
  398.85   .10133  1.00000  1.00000
   13  234  502  412 1-HEPTENE TOLUENE KIRSS H.,KUDRYAVTSEVA L.S.,EISEN O., EESTI NSV TEAD.AKAD.TOIM.,KEEM.GEOL. 24,15(1975).
  328.15   .01515   .00000   .00000
  328.15   .01635   .05000   .11800
  328.15   .01739   .10100   .21300
  328.15   .01907   .20100   .35200
  328.15   .01975   .25100   .40600
  328.15   .02118   .35000   .51300
  328.15   .02309   .50000   .64500
  328.15   .02476   .64900   .75800
  328.15   .02574   .75000   .82600
  328.15   .02620   .80000   .85900
  328.15   .02698   .90000   .92500
  328.15   .02728   .95000   .96000
  328.15   .02749  1.00000  1.00000
   15   17  507  420 HEPTANE P-XYLENE MENTZER R.A.,GREENKORN R.A.,CHAO K.C., J.CHEM.THERMODYN. 14,817(1982).
  313.11   .00268   .00000   .00000
  313.11   .00406   .10000   .39800
  313.11   .00519   .19600   .57400
  313.11   .00609   .28200   .67000
  313.11   .00690   .36600   .73700
  313.11   .00752   .43400   .78100
  313.11   .00805   .49600   .81400
  313.11   .00808   .49800   .81500
  313.11   .00849   .54600   .83800
  313.11   .00869   .57200   .85000
  313.11   .00888   .59200   .85800
  313.11   .00941   .65800   .88500
  313.11   .01025   .75800   .92200
  313.11   .01115   .86800   .95900
  313.11   .01229  1.00000  1.00000
   11  501  137  410 BENZENE CYCLOHEXANE OSBORNE C.G.,MORCOM K.W., J.CHEM.THERMODYN. 13,235(1981).
  313.15   .02456   .00000   .00000
  313.15   .02648   .23100   .28000
  313.15   .02704   .31100   .35400
  313.15   .02708   .33200   .37200
  313.15   .02743   .50400   .50700
  313.15   .02730   .61800   .59100
  313.15   .02721   .65300   .61900
  313.15   .02675   .74900   .70000
  313.15   .02610   .84700   .79700
  313.15   .02492   .95400   .93200
  313.15   .02430  1.00000  1.00000
   16  105  501  411 METHYLCYCLOPENTANE BENZENE MENTZER R.A.,GREENKORN R.A.,CHAO K.C., J.CHEM.THERMODYN. 14,817(1982).
  313.14   .02427   .00000   .00000
  313.14   .02647   .07600   .14600
  313.14   .02777   .13300   .23100
  313.14   .02886   .19200   .30200
  313.14   .03015   .27500   .38800
  313.14   .03127   .36600   .46800
  313.14   .03134   .37100   .47300
  313.14   .03187   .42400   .51600
  313.14   .03202   .44100   .52900
  313.14   .03244   .48900   .56700
  313.14   .03267   .52000   .59000
  313.14   .03327   .61500   .66200
  313.14   .03374   .72300   .74600
  313.14   .03397   .79900   .80800
  313.14   .03401   .88700   .88800
  313.14   .03385  1.00000  1.00000
   13  137  502  419 CYCLOHEXANE TOLUENE KATAYAMA T.,SUNG E.K.,LIGHTFOOT E.N., AICHE J. 11,924(1965).
  298.15   .00379   .00000   .00000
  298.15   .00458   .05100   .21600
  298.15   .00518   .10100   .36100
  298.15   .00654   .19900   .53100
  298.15   .00776   .28400   .60900
  298.15   .00870   .40000   .71400
  298.15   .00943   .50000   .77400
  298.15   .01035   .60000   .82200
  298.15   .01095   .70000   .86700
  298.15   .01149   .80000   .91200
  298.15   .01222   .90000   .95300
  298.15   .01264   .95000   .97600
  298.15   .01312  1.00000  1.00000
   11  309  214  418 ISOPRENE 2-METHYL-2-BUTENE SHESTAKOVA L.A.,KOFMAN L.L.,MATVEEVA T.N.,SAVELEVA T.N. PROM.SIN.KAUCH.NAUCH.-TEKH.SB.11,10(1970).
  311.72   .10133   .00000   .00000
  311.10   .10133   .10000   .11800
  310.55   .10133   .20000   .22800
  310.05   .10133   .30000   .33500
  309.65   .10133   .40000   .43800
  309.15   .10133   .50000   .53700
  308.65   .10133   .60000   .63500
  308.30   .10133   .70000   .72900
  307.95   .10133   .80000   .82100
  307.55   .10133   .90000   .91000
  307.22   .10133  1.00000  1.00000
   12 1864  502  261 HEXAFLUOROBENZENE TOLUENE GAW W.J.,SWINTON F.L. TRANS.FARADAY SOC.64,2023(1968).
  303.15   .00489   .00000   .00000
  303.15   .00553   .08780   .19080
  303.15   .00612   .17780   .33740
  303.15   .00672   .26680   .46120
  303.15   .00736   .35380   .57010
  303.15   .00809   .44300   .67040
  303.15   .00891   .52790   .75410
  303.15   .00977   .61090   .82350
  303.15   .01073   .69560   .88110
  303.15   .01177   .78370   .92810
  303.15   .01312   .89710   .97210
  303.15   .01430  1.00000  1.00000
   16 1501  501  230 TETRACHLOROMETHANE BENZENE TASIC A.ZH.,BUKUR D.B.,DORDEVIC B.D.,SIMOVIC D.M., GLAS.HEM.DRUS.,BEOGRAD 36,109(1971).
  353.18   .10133   .00000   .00000
  352.77   .10133   .05500   .07200
  352.51   .10133   .09400   .11700
  352.21   .10133   .14400   .16700
  352.04   .10133   .17400   .19700
  351.58   .10133   .25000   .27700
  351.22   .10133   .32700   .35400
  350.80   .10133   .43300   .45900
  350.32   .10133   .55400   .58000
  350.14   .10133   .64000   .65700
  349.94   .10133   .72700   .73700
  349.87   .10133   .79500   .80000
  349.80   .10133   .83800   .84100
  349.75   .10133   .88000   .88200
  349.70   .10133   .93300   .93400
  349.68   .10133  1.00000  1.00000
   12 1938  137  179 CARBON CYCLOHEXANE BERNATOVA S.,BOUBLIK T. COLL.CZECH.CHEM.COMMUN.42,2615(1977).
  298.15   .01301   .00000   .00000
  298.15   .01652   .07300   .26690
  298.15   .01879   .12280   .38740
  298.15   .02469   .26100   .59920
  298.15   .02841   .35500   .69100
  298.15   .03208   .45760   .76470
  298.15   .03593   .57270   .82790
  298.15   .03836   .65300   .86220
  298.15   .04099   .74210   .89850
  298.15   .04371   .84420   .93590
  298.15   .04523   .89440   .95660
  298.15   .04818  1.00000  1.00000
   19 1938  104  175 CARBON CYCLOPENTANE BERNATOVA S.,BOUBLIK T. COLL.CZECH.CHEM.COMMUN.41,1642(1976).
  288.15   .02813   .00000   .00000
  288.15   .02878   .03650   .05850
  288.15   .02886   .04250   .06600
  288.15   .02933   .07410   .10950
  288.15   .03054   .15840   .21700
  288.15   .03189   .28360   .35220
  288.15   .03221   .30540   .37380
  288.15   .03270   .36500   .42920
  288.15   .03288   .38200   .44500
  288.15   .03355   .49160   .53720
  288.15   .03394   .58180   .60890
  288.15   .03399   .59190   .61660
  288.15   .03408   .70440   .70520
  288.15   .03408   .76270   .75250
