13	1706	1102	121448	64175
337.974	0.04542	1	1	1953 cop eve 0
337.974	0.05037	0.928	-86	1953 cop eve 0
337.974	0.05462	0.8485	-86	1953 cop eve 0
337.974	0.05711	0.773	-86	1953 cop eve 0
337.974	0.05834	0.713	-86	1953 cop eve 0
337.974	0.0594	0.654	-86	1953 cop eve 0
337.974	0.06015	0.6055	-86	1953 cop eve 0
337.974	0.06121	0.2405	-86	1953 cop eve 0
337.974	0.06161	0.304	-86	1953 cop eve 0
337.974	0.06169	0.4415	-86	1953 cop eve 0
337.974	0.06177	0.3705	-86	1953 cop eve 0
337.974	0.05963	0.104	-86	1953 cop eve 0
337.974	0.05806	0	0	1953 cop eve 0
18	1710	1102	109897	64175	1969 nak tob 0
330.035	0.101	0.914	-86		
331.035	0.101	0.857	-86		
332.335	0.101	0.803	-86		
334.934	0.101	0.704	-86		
335.934	0.101	0.659	-86		
337.134	0.101	0.619	-86		
338.833	0.101	0.56	-86		
340.633	0.101	0.505	-86		
342.932	0.101	0.432	-86		
343.832	0.101	0.406	-86		
345.331	0.101	0.36	-86		
347.831	0.101	0.265	-86		
348.93	0.101	0.222	-86		
349.43	0.101	0.194	-86		
349.93	0.101	0.167	-86		
350.23	0.101	0.145	-86		
351.13	0.101	0.074	-86		
351.13	0.101	0.032	-86		
