44	1479	1921	VLE	THF + water
342.4	0.1013	0.05	-86	2011 mat kam 0
338	0.1013	0.1	-86	2011 mat kam 0
337.5	0.1013	0.2	-86	2011 mat kam 0
337.5	0.1013	0.3	-86	2011 mat kam 0
337.4	0.1013	0.4	-86	2011 mat kam 0
337.3	0.1013	0.5	-86	2011 mat kam 0
337.1	0.1013	0.6	-86	2011 mat kam 0
336.9	0.1013	0.7	-86	2011 mat kam 0
336.9	0.1013	0.75	-86	2011 mat kam 0
336.7	0.1013	0.8	-86	2011 mat kam 0
336.6	0.1013	0.825	-86	2011 mat kam 0
336.6	0.1013	0.85	-86	2011 mat kam 0
336.8	0.1013	0.875	-86	2011 mat kam 0
337	0.1013	0.9	-86	2011 mat kam 0
337.8	0.1013	0.95	-86	2011 mat kam 0
346.131	0.10132	0.02	-86	1968 shn kog 0
339.633	0.10132	0.04	-86	1968 shn kog 0
338.713	0.10132	0.06	-86	1968 shn kog 0
338.453	0.10132	0.08	-86	1968 shn kog 0
338.073	0.10132	0.1	-86	1968 shn kog 0
337.833	0.10132	0.15	-86	1968 shn kog 0
337.454	0.10132	0.2	-86	1968 shn kog 0
337.434	0.10132	0.25	-86	1968 shn kog 0
337.404	0.10132	0.3	-86	1968 shn kog 0
337.384	0.10132	0.35	-86	1968 shn kog 0
337.364	0.10132	0.4	-86	1968 shn kog 0
337.334	0.10132	0.45	-86	1968 shn kog 0
337.294	0.10132	0.5	-86	1968 shn kog 0
337.194	0.10132	0.55	-86	1968 shn kog 0
337.074	0.10132	0.6	-86	1968 shn kog 0
336.954	0.10132	0.65	-86	1968 shn kog 0
336.834	0.10132	0.7	-86	1968 shn kog 0
336.744	0.10132	0.75	-86	1968 shn kog 0
336.674	0.10132	0.8	-86	1968 shn kog 0
336.664	0.10132	0.82	-86	1968 shn kog 0
336.704	0.10132	0.84	-86	1968 shn kog 0
336.774	0.10132	0.86	-86	1968 shn kog 0
336.864	0.10132	0.88	-86	1968 shn kog 0
337.004	0.10132	0.9	-86	1968 shn kog 0
337.184	0.10132	0.92	-86	1968 shn kog 0
337.424	0.10132	0.94	-86	1968 shn kog 0
337.743	0.10132	0.96	-86	1968 shn kog 0
338.203	0.10132	0.98	-86	1968 shn kog 0
338.523	0.10132	0.99	-86	1968 shn kog 0
19	1102	41	VLE	ethanol + 2,2,4-trimethylpentane
362.55	0.10132	0.024	-86	2005 ku tu 1
353.82	0.10132	0.057	-86	2005 ku tu 1
348.56	0.10132	0.097	-86	2005 ku tu 1
346.51	0.10132	0.137	-86	2005 ku tu 1
345.84	0.10132	0.209	-86	2005 ku tu 1
345.7	0.10132	0.273	-86	2005 ku tu 1
345.33	0.10132	0.333	-86	2005 ku tu 1
344.9	0.10132	0.4	-86	2005 ku tu 1
344.74	0.10132	0.444	-86	2005 ku tu 1
344.53	0.10132	0.502	-86	2005 ku tu 1
344.52	0.10132	0.545	-86	2005 ku tu 1
344.47	0.10132	0.597	-86	2005 ku tu 1
344.44	0.10132	0.652	-86	2005 ku tu 1
344.48	0.10132	0.705	-86	2005 ku tu 1
344.58	0.10132	0.754	-86	2005 ku tu 1
344.71	0.10132	0.807	-86	2005 ku tu 1
345.22	0.10132	0.86	-86	2005 ku tu 1
346.22	0.10132	0.906	-86	2005 ku tu 1
348.35	0.10132	0.954	-86	2005 ku tu 1
18	1102	505	VLE	ethanol + o-xylene
398.45	0.099992	0.023	-86	1999 hua che 0
383.21	0.099992	0.058	-86	1999 hua che 0
369.65	0.099992	0.13	-86	1999 hua che 0
364.7	0.099992	0.191	-86	1999 hua che 0
359.78	0.099992	0.29	-86	1999 hua che 0
357.26	0.099992	0.366	-86	1999 hua che 0
356.16	0.099992	0.445	-86	1999 hua che 0
355.33	0.099992	0.529	-86	1999 hua che 0
354.59	0.099992	0.608	-86	1999 hua che 0
353.83	0.099992	0.718	-86	1999 hua che 0
353.22	0.099992	0.764	-86	1999 hua che 0
