   T(K)      P(MPA)       x         y       etaL      etaV
  374.53     .100000    .00100    .00501    .79131    .00326     0
  373.31     .100000    .01000    .04842    .79231    .00318     0
  368.38     .100000    .05000    .21075    .79615    .00290     0
  363.23     .100000    .10000    .36101    .79985    .00264     0
  355.39     .100000    .20000    .55588    .80474    .00231     0
  349.82     .100000    .30000    .67334    .80751    .00210     0
  345.79     .100000    .40000    .75012    .80903    .00197     0
  342.87     .100000    .50000    .80351    .80988    .00187     0
  340.79     .100000    .60000    .84269    .81047    .00180     0
  339.33     .100000    .70000    .87335    .81122    .00175     0
  338.34     .100000    .80000    .90038    .81256    .00169     0
  337.66     .100000    .90000    .93219    .81502    .00163     0
  337.45     .100000    .95000    .95705    .81681    .00158     0
  337.43     .100000    .99000    .98901    .81847    .00151     0
  337.46     .100000    .99900    .99883    .81886    .00149     0
  337.46     .100000    .99900    .99883    .81886    .00149     0
