   T(K)   P(MPa)
  350.00    .200
   x1      x2       hE      gMixGE        gE       gIs        LnGam(i)           gMix
  .0001   .9999   .0002       .000       .001      -.001      1.087       .000   .000108639
  .0010   .9990   .0022       .001       .009      -.008      1.087       .000   .001086700
  .0100   .9900   .0219       .011       .067      -.056      1.085       .000   .010857103
  .0200   .9800   .0437       .022       .120      -.098      1.082       .000   .021690520
  .0500   .9500   .1084       .054       .253      -.199      1.074       .000   .054029862
  .1000   .9000   .2134       .107       .432      -.325      1.058       .002   .107308630
  .2000   .8000   .4111       .211       .711      -.500      1.018       .009   .210756708
  .3000   .7000   .5885       .308       .919      -.611       .962       .028   .308179266
  .4000   .6000   .7391       .396      1.069      -.673       .890       .068   .396406931
  .5000   .5000   .8542       .471      1.164      -.693       .796       .145   .470647782
  .6000   .4000   .9212       .523      1.196      -.673       .676       .294   .523326205
  .7000   .3000   .9201       .542      1.153      -.611       .526       .578   .541725609
  .8000   .2000   .8175       .503      1.003      -.500       .342      1.144   .502709276
  .9000   .1000   .5525       .359       .684      -.325       .136      2.369   .359337820
  .9500   .0500   .3246       .219       .417      -.199       .045      3.523   .218728577
  .9800   .0200   .1437       .099       .197      -.098       .009      4.542   .099294709
  .9900   .0100   .0744       .052       .108      -.056       .002      4.960   .051876595
  .9990   .0010   .0077       .005       .013      -.008       .000      5.377   .005400970
  .9999   .0001   .0008       .001       .002      -.001       .000      5.421   .000542354
