1	BUTANE
2
3         VLE DATA
4         Landolt-Boernstein, 1971, II.Band, 1.Teil
5         daraus: Datensaetze:       48- 79 (Beattie, 1939)
6                                    80-124  (Olds, 1944)
7         
8
9         Liquid Data (T: 134.85(T_tripel) -  423.15 K (knapp an crit. Pkt))
10        Selected Values of Properties of Hydrocarbons and Related Compounds.
11        "Research Project 44 of the American Petroleum Institut and the Termodynamic Research Center, "
12        Texas A&M University
13        Values of the vapor pressure are calculated from
14        DECHEMA DATA SERIES: Recommended Data of Selected Comp. and Bin. Mix.
15	
Molekulargewicht (g/mol),  krit.Vol. (m**3/kg):
58.123  	0.004385965					
18
19
20        Vapor Data (T: 140. -  420. K (knapp an crit. Pkt))
21        Vargaftik: (143-263 K)
22        DECHEMA DATA SERIES: Recommended Data of Selected Comp. and Bin. Mix.
23     
24        DECHEMA DATA SERIES: Recommended Data of Selected Comp. and Bin. Mix.
25        TC 425.16 K, PC 3.797E06 Pa, VC 255 cm**3/mol     
26     
27
28        2nd virial coeff.: Research Project 44 of the American Petroleum Institute, Table h
29                           ( T = 0.5*Tc  bis  5.0*Tc )
30
31
Anzahl der Datensaetze zu den Unterpunkten 1 - 4:
124	31	12	0
Fluid:
DATNR	PRES(PA)	TEMP(K)	VOL(m**3/kg)
 1        0.67312529d0   134.85d0   0.001362398d0
 2       2.948099243d0   143.15d0   0.001375516d0
 3       13.78504224d0   153.15d0   0.001392758d0
 4       52.14512795d0   163.15d0   0.001410437d0
 5       165.8671365d0   173.15d0   0.001430615d0
 6       457.1958967d0   183.15d0   0.001449275d0
 7       1118.224857d0   193.15d0   0.001469076d0
 8       2473.175626d0   203.15d0   0.001489869d0
 9       5022.412612d0   213.15d0   0.001511487d0
 10      9482.269039d0   223.15d0   0.001533978d0
 11      16815.50526d0   233.15d0   0.001557632d0
 12      28249.12294d0   243.15d0   0.001582278d0
 13      45278.63539d0   253.15d0   0.001608234d0
 14      69660.09967d0    263.15d0   0.001635858d0
 15       103392.828d0   273.15d0   0.001664724d0
 16      148696.5571d0   283.15d0   0.001695461d0
 17      207987.0202d0   293.15d0   0.00172828d0
 18      283853.5059d0   303.15d0   0.001763606d0
 19      379041.3207d0    313.15d0   0.001808318d0
 20       496441.282d0   323.15d0   0.001843658d0
 21      639087.6058d0   333.15d0   0.001889645d0
 22      810164.9064d0   343.15d0   0.001940994d0
 23      1013024.544d0   353.15d0   0.001998801d0
 24      1251210.237d0   363.15d0   0.00206441d0
 25      1528492.706d0   373.15d0   0.002141786d0
