 T/K  p/MPa  x1L  x1V  densityL/(kg/m**3)  densityV/(kg/m**3)  hL/(J/mol)  hV/(J/mol)  sL/(J/mol/K)  sV/(J/mol/K)  cpresL/(J/mol/K)  cpresV/(J/mol/K)
        337.20000000          0.05584664          0.00000000          0.00000000        745.01234047          0.95325327     -40307.46486262       -994.59277372       -114.41032684          2.17588933         49.75586652         16.47898279
        337.20000000          0.40551609          0.01250000          0.85425258        746.44638155          6.55590451     -39871.60394133       -440.67112736       -113.27181062         -9.33904400         49.52077255          0.27019321
        337.20000000          0.74901629          0.02500000          0.91861535        747.87726026         12.20257945     -39437.54055867       -500.21097995       -112.27970608        -15.63974278         49.29421851         -0.35609565
        337.20000000          1.08638079          0.03750000          0.94219874        749.30445895         17.89468497     -39005.25893495       -591.58006341       -111.34428608        -19.41731533         49.07625577         -0.17539686
        337.20000000          1.41764739          0.05000000          0.95438463        750.72743571         23.63383651     -38574.74289609       -692.00931564       -110.44645398        -22.12651286         48.86694373          0.25235070
        337.20000000          1.74285488          0.06250000          0.96179250        752.14561887         29.42174593     -38145.97597528       -796.38330902       -109.57712336        -24.24933553         48.66635069          0.80305311
        337.20000000          2.06204295          0.07500000          0.96674559        753.55840510         35.26022366     -37718.94139710       -902.91893863       -108.73092881        -26.00303016         48.47455506          1.43473002
        337.20000000          2.37525222          0.08750000          0.97026970        754.96515748         41.15118258     -37293.62205858      -1010.84005108       -107.90431328        -27.50365572         48.29164475          2.13029214
        337.20000000          2.68252426          0.10000000          0.97288785        756.36520335         47.09664235     -36870.00050890      -1119.76129281       -107.09473823        -28.82036596         48.11771857          2.88241568
        337.20000000          2.98390157          0.11250000          0.97489462        757.75783209         53.09873396     -36448.05892737      -1229.47545141       -106.30029606        -29.99764166         47.95288669          3.68833840
        337.20000000          3.27942765          0.12500000          0.97646853        759.14229261         59.15970442     -36027.77909976      -1339.86637926       -105.51949729        -31.06576449         47.79727126          4.54774156
        337.20000000          3.56914696          0.13750000          0.97772399        760.51779083         65.28192169     -35609.14239298      -1450.86875220       -104.75114368        -32.04627472         47.65100726          5.46178282
        337.20000000          3.85310499          0.15000000          0.97873767        761.88348679         71.46787958     -35192.12972762      -1562.44770971       -103.99424794        -32.95504080         47.51424326          6.43261822
        337.20000000          4.13134823          0.16250000          0.97956282        763.23849163         77.72020279     -34776.72154850      -1674.58780384       -103.24798030        -33.80409270         47.38714233          7.46315414
        337.20000000          4.40392426          0.17500000          0.98023751        764.58186432         84.04165187     -34362.89779285      -1787.28665577       -102.51163163        -34.60277131         47.26988305          8.55691600
        337.20000000          4.67088167          0.18750000          0.98078965        765.91260809         90.43512798     -33950.63785593      -1900.55114598       -101.78458709        -35.35847851         47.16266055          9.71798050
        337.20000000          4.93227020          0.20000000          0.98124010        767.22966662         96.90367749     -33539.92055399      -2014.39503876       -101.06630679        -36.07718344         47.06568768         10.95094411
        337.20000000          5.18814065          0.21250000          0.98160471        768.53191985        103.45049605     -33130.72408406      -2128.83745428       -100.35631135        -36.76377411         46.97919640         12.26091325
        337.20000000          5.43854500          0.22500000          0.98189572        769.81817949        110.07893214     -32723.02598049      -2243.90185811        -99.65417071        -37.42230774         46.90343882         13.65350731
        337.20000000          5.68353634          0.23750000          0.98212264        771.08718414        116.79248959     -32316.80306781      -2359.61537522        -98.95949550        -38.05619291         46.83868930         15.13486936
        337.20000000          5.92316897          0.25000000          0.98229296        772.33759391        123.59482914     -31912.03140952      -2476.00831053        -98.27193014        -38.66832448         46.78524577         16.71168038
        337.20000000          6.15749835          0.26250000          0.98241258        773.56798465        130.48976823     -31508.68625240      -2593.11380113        -97.59114727        -39.26118536         46.74343166         18.39117394
        337.20000000          6.38658117          0.27500000          0.98248616        774.77684164        137.48127900     -31106.74196597      -2710.96755075        -96.91684326        -39.83692428         46.71359803         20.18114821
        337.20000000          6.61047533          0.28750000          0.98251739        775.96255261        144.57348367     -30706.17197631      -2829.60761183        -96.24873442        -40.39741602         46.69612581         22.08997206
